Ar+ (2P3/2) + CO2 --> C+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.630364e+01,7.560000e-19,0.000000e+00,0.000000e+00
1.752545e+01,5.670000e-19,0.000000e+00,0.000000e+00
1.859455e+01,7.560000e-19,0.000000e+00,0.000000e+00
1.985455e+01,5.670000e-19,0.000000e+00,0.000000e+00
2.119091e+01,3.780000e-19,0.000000e+00,0.000000e+00
2.271818e+01,9.450000e-19,0.000000e+00,0.000000e+00
2.500909e+01,1.510000e-18,0.000000e+00,0.000000e+00
2.730000e+01,2.080000e-18,0.000000e+00,0.000000e+00
2.901818e+01,3.020000e-18,0.000000e+00,0.000000e+00
2.997273e+01,3.590000e-18,0.000000e+00,0.000000e+00
3.188182e+01,5.290000e-18,0.000000e+00,0.000000e+00
3.360000e+01,6.810000e-18,0.000000e+00,0.000000e+00
3.436364e+01,9.260000e-18,0.000000e+00,0.000000e+00
3.550909e+01,1.060000e-17,0.000000e+00,0.000000e+00
3.703636e+01,1.440000e-17,0.000000e+00,0.000000e+00
4.009091e+01,1.950000e-17,0.000000e+00,0.000000e+00
4.696364e+01,3.800000e-17,0.000000e+00,0.000000e+00
5.040000e+01,4.730000e-17,0.000000e+00,0.000000e+00
6.013636e+01,5.820000e-17,0.000000e+00,0.000000e+00
7.426364e+01,7.130000e-17,0.000000e+00,0.000000e+00
9.908182e+01,6.840000e-17,0.000000e+00,0.000000e+00
1.246636e+02,5.970000e-17,0.000000e+00,0.000000e+00
1.536818e+02,5.520000e-17,0.000000e+00,0.000000e+00
1.729636e+02,5.090000e-17,0.000000e+00,0.000000e+00
1.985455e+02,4.880000e-17,0.000000e+00,0.000000e+00
2.214545e+02,5.140000e-17,0.000000e+00,0.000000e+00
2.520000e+02,5.500000e-17,0.000000e+00,0.000000e+00
