Ar+ (2P3/2) + CO2 --> ArCO+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
9.679091e+00,4.810000e-21,0.000000e+00,0.000000e+00
1.172182e+01,4.810000e-20,0.000000e+00,0.000000e+00
1.384091e+01,1.130000e-19,0.000000e+00,0.000000e+00
1.567364e+01,1.540000e-19,0.000000e+00,0.000000e+00
1.788818e+01,1.740000e-19,0.000000e+00,0.000000e+00
1.985455e+01,1.790000e-19,0.000000e+00,0.000000e+00
2.367273e+01,1.740000e-19,0.000000e+00,0.000000e+00
2.520000e+01,1.430000e-19,0.000000e+00,0.000000e+00
2.787273e+01,1.330000e-19,0.000000e+00,0.000000e+00
2.940000e+01,8.780000e-20,0.000000e+00,0.000000e+00
3.226364e+01,6.850000e-20,0.000000e+00,0.000000e+00
3.455455e+01,6.130000e-20,0.000000e+00,0.000000e+00
3.665455e+01,5.890000e-20,0.000000e+00,0.000000e+00
3.913636e+01,5.170000e-20,0.000000e+00,0.000000e+00
3.818182e+01,2.530000e-20,0.000000e+00,0.000000e+00
4.429091e+01,4.810000e-21,0.000000e+00,0.000000e+00
5.173636e+01,0.000000e+00,0.000000e+00,0.000000e+00
6.013636e+01,0.000000e+00,0.000000e+00,0.000000e+00
