C+ (2P) + N2 --> N++CN
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.742857e+00,4.230000e-19,0.000000e+00,0.000000e+00
5.828571e+00,2.820000e-19,0.000000e+00,0.000000e+00
5.942857e+00,1.410000e-19,0.000000e+00,0.000000e+00
6.028571e+00,1.410000e-19,0.000000e+00,0.000000e+00
6.142857e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.228571e+00,8.450000e-19,0.000000e+00,0.000000e+00
6.342857e+00,5.630000e-19,0.000000e+00,0.000000e+00
6.457143e+00,5.630000e-19,0.000000e+00,0.000000e+00
6.528571e+00,5.630000e-19,0.000000e+00,0.000000e+00
6.628571e+00,5.630000e-19,0.000000e+00,0.000000e+00
6.728571e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.828571e+00,2.820000e-19,0.000000e+00,0.000000e+00
6.942857e+00,4.230000e-19,0.000000e+00,0.000000e+00
7.028571e+00,8.450000e-19,0.000000e+00,0.000000e+00
7.128571e+00,9.860000e-19,0.000000e+00,0.000000e+00
7.228571e+00,8.450000e-19,0.000000e+00,0.000000e+00
7.328571e+00,1.550000e-18,0.000000e+00,0.000000e+00
7.428571e+00,1.970000e-18,0.000000e+00,0.000000e+00
7.528571e+00,1.970000e-18,0.000000e+00,0.000000e+00
7.628571e+00,2.680000e-18,0.000000e+00,0.000000e+00
7.728571e+00,2.390000e-18,0.000000e+00,0.000000e+00
7.814286e+00,2.960000e-18,0.000000e+00,0.000000e+00
7.928571e+00,3.520000e-18,0.000000e+00,0.000000e+00
8.028571e+00,4.230000e-18,0.000000e+00,0.000000e+00
8.128571e+00,5.070000e-18,0.000000e+00,0.000000e+00
8.214286e+00,5.350000e-18,0.000000e+00,0.000000e+00
8.342857e+00,6.340000e-18,0.000000e+00,0.000000e+00
8.428571e+00,7.040000e-18,0.000000e+00,0.000000e+00
8.528571e+00,7.180000e-18,0.000000e+00,0.000000e+00
8.628571e+00,8.030000e-18,0.000000e+00,0.000000e+00
8.714286e+00,9.010000e-18,0.000000e+00,0.000000e+00
8.814286e+00,9.440000e-18,0.000000e+00,0.000000e+00
8.914286e+00,1.030000e-17,0.000000e+00,0.000000e+00
9.028571e+00,1.060000e-17,0.000000e+00,0.000000e+00
9.114286e+00,1.200000e-17,0.000000e+00,0.000000e+00
9.214286e+00,1.300000e-17,0.000000e+00,0.000000e+00
9.314286e+00,1.310000e-17,0.000000e+00,0.000000e+00
9.414286e+00,1.460000e-17,0.000000e+00,0.000000e+00
9.514286e+00,1.420000e-17,0.000000e+00,0.000000e+00
9.600000e+00,1.540000e-17,0.000000e+00,0.000000e+00
9.714286e+00,1.630000e-17,0.000000e+00,0.000000e+00
9.814286e+00,1.720000e-17,0.000000e+00,0.000000e+00
9.900000e+00,1.750000e-17,0.000000e+00,0.000000e+00
1.001429e+01,1.820000e-17,0.000000e+00,0.000000e+00
1.011429e+01,1.820000e-17,0.000000e+00,0.000000e+00
1.021429e+01,1.930000e-17,0.000000e+00,0.000000e+00
1.031429e+01,1.930000e-17,0.000000e+00,0.000000e+00
1.041429e+01,2.030000e-17,0.000000e+00,0.000000e+00
1.050000e+01,2.060000e-17,0.000000e+00,0.000000e+00
1.060000e+01,2.110000e-17,0.000000e+00,0.000000e+00
1.071429e+01,2.140000e-17,0.000000e+00,0.000000e+00
1.080000e+01,2.180000e-17,0.000000e+00,0.000000e+00
1.091429e+01,2.240000e-17,0.000000e+00,0.000000e+00
1.100000e+01,2.230000e-17,0.000000e+00,0.000000e+00
1.110000e+01,2.230000e-17,0.000000e+00,0.000000e+00
1.120000e+01,2.240000e-17,0.000000e+00,0.000000e+00
1.128571e+01,2.350000e-17,0.000000e+00,0.000000e+00
1.140000e+01,2.340000e-17,0.000000e+00,0.000000e+00
1.145714e+01,2.210000e-17,0.000000e+00,0.000000e+00
1.164286e+01,2.210000e-17,0.000000e+00,0.000000e+00
1.207143e+01,2.180000e-17,0.000000e+00,0.000000e+00
1.248571e+01,2.180000e-17,0.000000e+00,0.000000e+00
1.280000e+01,2.250000e-17,0.000000e+00,0.000000e+00
1.310000e+01,2.280000e-17,0.000000e+00,0.000000e+00
1.334286e+01,2.210000e-17,0.000000e+00,0.000000e+00
1.375714e+01,2.210000e-17,0.000000e+00,0.000000e+00
1.394286e+01,2.250000e-17,0.000000e+00,0.000000e+00
1.418571e+01,2.140000e-17,0.000000e+00,0.000000e+00
1.431429e+01,2.040000e-17,0.000000e+00,0.000000e+00
1.467143e+01,2.110000e-17,0.000000e+00,0.000000e+00
1.485714e+01,2.000000e-17,0.000000e+00,0.000000e+00
1.515714e+01,1.800000e-17,0.000000e+00,0.000000e+00
1.558571e+01,1.690000e-17,0.000000e+00,0.000000e+00
1.601429e+01,1.660000e-17,0.000000e+00,0.000000e+00
1.648571e+01,1.620000e-17,0.000000e+00,0.000000e+00
1.685714e+01,1.560000e-17,0.000000e+00,0.000000e+00
1.752857e+01,1.490000e-17,0.000000e+00,0.000000e+00
1.812857e+01,1.450000e-17,0.000000e+00,0.000000e+00
1.842857e+01,1.420000e-17,0.000000e+00,0.000000e+00
1.891429e+01,1.380000e-17,0.000000e+00,0.000000e+00
1.910000e+01,1.280000e-17,0.000000e+00,0.000000e+00
1.970000e+01,1.210000e-17,0.000000e+00,0.000000e+00
2.001429e+01,1.110000e-17,0.000000e+00,0.000000e+00
2.080000e+01,1.110000e-17,0.000000e+00,0.000000e+00
2.147143e+01,1.110000e-17,0.000000e+00,0.000000e+00
2.188571e+01,1.000000e-17,0.000000e+00,0.000000e+00
2.231429e+01,9.680000e-18,0.000000e+00,0.000000e+00
2.261429e+01,9.330000e-18,0.000000e+00,0.000000e+00
2.285714e+01,8.640000e-18,0.000000e+00,0.000000e+00
2.347143e+01,8.290000e-18,0.000000e+00,0.000000e+00
2.364286e+01,7.600000e-18,0.000000e+00,0.000000e+00
2.401429e+01,8.640000e-18,0.000000e+00,0.000000e+00
2.431429e+01,8.640000e-18,0.000000e+00,0.000000e+00
2.461429e+01,7.950000e-18,0.000000e+00,0.000000e+00
2.485714e+01,7.260000e-18,0.000000e+00,0.000000e+00
2.515714e+01,8.290000e-18,0.000000e+00,0.000000e+00
2.547143e+01,8.290000e-18,0.000000e+00,0.000000e+00
2.588571e+01,7.950000e-18,0.000000e+00,0.000000e+00
2.612857e+01,7.950000e-18,0.000000e+00,0.000000e+00
2.668571e+01,7.950000e-18,0.000000e+00,0.000000e+00
2.692857e+01,6.910000e-18,0.000000e+00,0.000000e+00
2.710000e+01,6.220000e-18,0.000000e+00,0.000000e+00
2.741429e+01,7.260000e-18,0.000000e+00,0.000000e+00
2.782857e+01,7.260000e-18,0.000000e+00,0.000000e+00
2.825714e+01,7.260000e-18,0.000000e+00,0.000000e+00
2.910000e+01,7.600000e-18,0.000000e+00,0.000000e+00
2.934286e+01,7.600000e-18,0.000000e+00,0.000000e+00
2.990000e+01,7.600000e-18,0.000000e+00,0.000000e+00
3.025714e+01,7.950000e-18,0.000000e+00,0.000000e+00
3.055714e+01,7.950000e-18,0.000000e+00,0.000000e+00
3.080000e+01,7.260000e-18,0.000000e+00,0.000000e+00
3.134286e+01,8.290000e-18,0.000000e+00,0.000000e+00
3.158571e+01,7.600000e-18,0.000000e+00,0.000000e+00
3.190000e+01,7.260000e-18,0.000000e+00,0.000000e+00
3.255714e+01,7.260000e-18,0.000000e+00,0.000000e+00
3.298571e+01,8.290000e-18,0.000000e+00,0.000000e+00
3.317143e+01,8.290000e-18,0.000000e+00,0.000000e+00
3.358571e+01,7.950000e-18,0.000000e+00,0.000000e+00
3.395714e+01,7.950000e-18,0.000000e+00,0.000000e+00
3.487143e+01,8.290000e-18,0.000000e+00,0.000000e+00
3.517143e+01,8.290000e-18,0.000000e+00,0.000000e+00
3.560000e+01,8.640000e-18,0.000000e+00,0.000000e+00
3.582857e+01,8.290000e-18,0.000000e+00,0.000000e+00
3.614286e+01,7.950000e-18,0.000000e+00,0.000000e+00
