C+ (2P) + N2 --> C
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.320000e+02,1.810000e-16,0.000000e+00,0.000000e+00
8.832000e+02,1.920000e-16,0.000000e+00,0.000000e+00
1.007000e+03,2.070000e-16,0.000000e+00,0.000000e+00
1.177000e+03,2.120000e-16,0.000000e+00,0.000000e+00
1.332000e+03,2.280000e-16,0.000000e+00,0.000000e+00
1.476000e+03,2.380000e-16,0.000000e+00,0.000000e+00
1.620000e+03,2.640000e-16,0.000000e+00,0.000000e+00
1.764000e+03,2.540000e-16,0.000000e+00,0.000000e+00
1.920000e+03,2.540000e-16,0.000000e+00,0.000000e+00
2.052000e+03,2.750000e-16,0.000000e+00,0.000000e+00
2.220000e+03,3.010000e-16,0.000000e+00,0.000000e+00
2.352000e+03,3.010000e-16,0.000000e+00,0.000000e+00
