C3H2 + H+ --> (total)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e-01,4.184000e-15,0.000000e+00,0.000000e+00
1.155000e-01,3.958000e-15,0.000000e+00,0.000000e+00
1.334000e-01,3.722000e-15,0.000000e+00,0.000000e+00
1.540000e-01,3.481000e-15,0.000000e+00,0.000000e+00
1.778000e-01,3.239000e-15,0.000000e+00,0.000000e+00
2.054000e-01,3.000000e-15,0.000000e+00,0.000000e+00
2.371000e-01,2.767000e-15,0.000000e+00,0.000000e+00
2.738000e-01,2.542000e-15,0.000000e+00,0.000000e+00
3.162000e-01,2.329000e-15,0.000000e+00,0.000000e+00
3.652000e-01,2.128000e-15,0.000000e+00,0.000000e+00
4.217000e-01,1.941000e-15,0.000000e+00,0.000000e+00
4.870000e-01,1.767000e-15,0.000000e+00,0.000000e+00
5.623000e-01,1.607000e-15,0.000000e+00,0.000000e+00
6.494000e-01,1.461000e-15,0.000000e+00,0.000000e+00
7.499000e-01,1.329000e-15,0.000000e+00,0.000000e+00
8.660000e-01,1.209000e-15,0.000000e+00,0.000000e+00
1.000000e+00,1.101000e-15,0.000000e+00,0.000000e+00
1.155000e+00,1.005000e-15,0.000000e+00,0.000000e+00
1.334000e+00,9.182000e-16,0.000000e+00,0.000000e+00
1.540000e+00,8.411000e-16,0.000000e+00,0.000000e+00
1.778000e+00,7.725000e-16,0.000000e+00,0.000000e+00
2.054000e+00,7.117000e-16,0.000000e+00,0.000000e+00
2.371000e+00,6.578000e-16,0.000000e+00,0.000000e+00
2.738000e+00,6.103000e-16,0.000000e+00,0.000000e+00
3.162000e+00,5.684000e-16,0.000000e+00,0.000000e+00
3.652000e+00,5.315000e-16,0.000000e+00,0.000000e+00
4.217000e+00,4.992000e-16,0.000000e+00,0.000000e+00
4.870000e+00,4.710000e-16,0.000000e+00,0.000000e+00
5.623000e+00,4.465000e-16,0.000000e+00,0.000000e+00
6.494000e+00,4.252000e-16,0.000000e+00,0.000000e+00
7.499000e+00,4.069000e-16,0.000000e+00,0.000000e+00
8.660000e+00,3.913000e-16,0.000000e+00,0.000000e+00
1.000000e+01,3.782000e-16,0.000000e+00,0.000000e+00
1.155000e+01,3.674000e-16,0.000000e+00,0.000000e+00
1.334000e+01,3.586000e-16,0.000000e+00,0.000000e+00
1.540000e+01,3.518000e-16,0.000000e+00,0.000000e+00
1.778000e+01,3.467000e-16,0.000000e+00,0.000000e+00
2.054000e+01,3.435000e-16,0.000000e+00,0.000000e+00
2.371000e+01,3.418000e-16,0.000000e+00,0.000000e+00
2.738000e+01,3.417000e-16,0.000000e+00,0.000000e+00
3.162000e+01,3.432000e-16,0.000000e+00,0.000000e+00
3.652000e+01,3.462000e-16,0.000000e+00,0.000000e+00
4.217000e+01,3.507000e-16,0.000000e+00,0.000000e+00
4.870000e+01,3.567000e-16,0.000000e+00,0.000000e+00
5.623000e+01,3.642000e-16,0.000000e+00,0.000000e+00
6.494000e+01,3.732000e-16,0.000000e+00,0.000000e+00
7.499000e+01,3.838000e-16,0.000000e+00,0.000000e+00
8.660000e+01,3.960000e-16,0.000000e+00,0.000000e+00
1.000000e+02,4.098000e-16,0.000000e+00,0.000000e+00
1.155000e+02,4.254000e-16,0.000000e+00,0.000000e+00
1.334000e+02,4.427000e-16,0.000000e+00,0.000000e+00
1.540000e+02,4.617000e-16,0.000000e+00,0.000000e+00
1.778000e+02,4.827000e-16,0.000000e+00,0.000000e+00
2.054000e+02,5.055000e-16,0.000000e+00,0.000000e+00
2.371000e+02,5.303000e-16,0.000000e+00,0.000000e+00
2.738000e+02,5.570000e-16,0.000000e+00,0.000000e+00
3.162000e+02,5.857000e-16,0.000000e+00,0.000000e+00
3.652000e+02,6.164000e-16,0.000000e+00,0.000000e+00
4.217000e+02,6.491000e-16,0.000000e+00,0.000000e+00
4.870000e+02,6.836000e-16,0.000000e+00,0.000000e+00
5.623000e+02,7.200000e-16,0.000000e+00,0.000000e+00
6.494000e+02,7.579000e-16,0.000000e+00,0.000000e+00
7.499000e+02,7.973000e-16,0.000000e+00,0.000000e+00
