D+ (v=5,j=1) + H2 --> H++H+D
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+00,6.800000e-18,1.000000e-18,1.000000e-18
6.000000e+00,3.090000e-17,2.200000e-18,2.200000e-18
7.000000e+00,5.070000e-17,2.700000e-18,2.700000e-18
8.000000e+00,6.100000e-17,2.800000e-18,2.800000e-18
9.000000e+00,6.950000e-17,2.900000e-18,2.900000e-18
1.000000e+01,7.350000e-17,2.800000e-18,2.800000e-18
1.100000e+01,8.080000e-17,2.900000e-18,2.900000e-18
1.200000e+01,8.050000e-17,2.900000e-18,2.900000e-18
1.300000e+01,8.870000e-17,2.900000e-18,2.900000e-18
1.400000e+01,9.990000e-17,3.200000e-18,3.200000e-18
1.500000e+01,1.009000e-16,3.100000e-18,3.100000e-18
1.600000e+01,1.100000e-16,3.200000e-18,3.200000e-18
1.800000e+01,1.185000e-16,3.300000e-18,3.300000e-18
2.000000e+01,1.168000e-16,3.100000e-18,3.100000e-18
2.400000e+01,1.326000e-16,3.300000e-18,3.300000e-18
2.800000e+01,1.314000e-16,3.100000e-18,3.100000e-18
3.200000e+01,1.271000e-16,3.000000e-18,3.000000e-18
3.600000e+01,1.294000e-16,2.900000e-18,2.900000e-18
4.000000e+01,1.334000e-16,2.800000e-18,2.800000e-18
