H + CH4 --> H+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
9.860000e+04,4.250000e-16,0.000000e+00,0.000000e+00
1.930000e+05,2.900000e-16,0.000000e+00,0.000000e+00
2.950000e+05,2.580000e-16,0.000000e+00,0.000000e+00
3.950000e+05,1.890000e-16,0.000000e+00,0.000000e+00
5.410000e+05,1.680000e-16,0.000000e+00,0.000000e+00
7.880000e+05,1.360000e-16,0.000000e+00,0.000000e+00
9.830000e+05,1.070000e-16,0.000000e+00,0.000000e+00
1.240000e+06,8.430000e-17,0.000000e+00,0.000000e+00
1.450000e+06,7.850000e-17,0.000000e+00,0.000000e+00
1.700000e+06,6.650000e-17,0.000000e+00,0.000000e+00
1.950000e+06,6.050000e-17,0.000000e+00,0.000000e+00
2.190000e+06,5.500000e-17,0.000000e+00,0.000000e+00
2.440000e+06,5.370000e-17,0.000000e+00,0.000000e+00
