H+ + H2 (J=0) --> H2(J=2)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e-01,1.301000e-15,0.000000e+00,0.000000e+00
1.155000e-01,1.739000e-15,0.000000e+00,0.000000e+00
1.334000e-01,2.007000e-15,0.000000e+00,0.000000e+00
1.540000e-01,2.097000e-15,0.000000e+00,0.000000e+00
1.778000e-01,2.085000e-15,0.000000e+00,0.000000e+00
2.054000e-01,2.104000e-15,0.000000e+00,0.000000e+00
2.371000e-01,2.171000e-15,0.000000e+00,0.000000e+00
2.738000e-01,2.259000e-15,0.000000e+00,0.000000e+00
3.162000e-01,2.355000e-15,0.000000e+00,0.000000e+00
3.652000e-01,2.451000e-15,0.000000e+00,0.000000e+00
4.217000e-01,2.542000e-15,0.000000e+00,0.000000e+00
4.870000e-01,2.628000e-15,0.000000e+00,0.000000e+00
5.623000e-01,2.705000e-15,0.000000e+00,0.000000e+00
6.494000e-01,2.772000e-15,0.000000e+00,0.000000e+00
7.499000e-01,2.827000e-15,0.000000e+00,0.000000e+00
8.660000e-01,2.868000e-15,0.000000e+00,0.000000e+00
1.000000e+00,2.892000e-15,0.000000e+00,0.000000e+00
1.155000e+00,2.897000e-15,0.000000e+00,0.000000e+00
1.334000e+00,2.881000e-15,0.000000e+00,0.000000e+00
1.540000e+00,2.843000e-15,0.000000e+00,0.000000e+00
1.778000e+00,2.781000e-15,0.000000e+00,0.000000e+00
2.054000e+00,2.695000e-15,0.000000e+00,0.000000e+00
2.371000e+00,2.587000e-15,0.000000e+00,0.000000e+00
2.738000e+00,2.458000e-15,0.000000e+00,0.000000e+00
3.162000e+00,2.311000e-15,0.000000e+00,0.000000e+00
3.652000e+00,2.150000e-15,0.000000e+00,0.000000e+00
4.217000e+00,1.980000e-15,0.000000e+00,0.000000e+00
4.870000e+00,1.805000e-15,0.000000e+00,0.000000e+00
5.623000e+00,1.628000e-15,0.000000e+00,0.000000e+00
6.494000e+00,1.455000e-15,0.000000e+00,0.000000e+00
7.499000e+00,1.286000e-15,0.000000e+00,0.000000e+00
8.660000e+00,1.126000e-15,0.000000e+00,0.000000e+00
1.000000e+01,9.749000e-16,0.000000e+00,0.000000e+00
1.155000e+01,8.340000e-16,0.000000e+00,0.000000e+00
1.334000e+01,7.038000e-16,0.000000e+00,0.000000e+00
1.540000e+01,5.845000e-16,0.000000e+00,0.000000e+00
1.778000e+01,4.765000e-16,0.000000e+00,0.000000e+00
2.054000e+01,3.799000e-16,0.000000e+00,0.000000e+00
2.371000e+01,2.953000e-16,0.000000e+00,0.000000e+00
2.738000e+01,2.232000e-16,0.000000e+00,0.000000e+00
3.162000e+01,1.637000e-16,0.000000e+00,0.000000e+00
3.652000e+01,1.165000e-16,0.000000e+00,0.000000e+00
4.217000e+01,8.050000e-17,0.000000e+00,0.000000e+00
4.870000e+01,5.418000e-17,0.000000e+00,0.000000e+00
5.623000e+01,3.564000e-17,0.000000e+00,0.000000e+00
6.494000e+01,2.300000e-17,0.000000e+00,0.000000e+00
7.499000e+01,1.462000e-17,0.000000e+00,0.000000e+00
8.660000e+01,9.188000e-18,0.000000e+00,0.000000e+00
1.000000e+02,5.721000e-18,0.000000e+00,0.000000e+00
1.155000e+02,3.539000e-18,0.000000e+00,0.000000e+00
1.334000e+02,2.178000e-18,0.000000e+00,0.000000e+00
1.540000e+02,1.336000e-18,0.000000e+00,0.000000e+00
1.778000e+02,8.174000e-19,0.000000e+00,0.000000e+00
2.054000e+02,4.992000e-19,0.000000e+00,0.000000e+00
2.371000e+02,3.044000e-19,0.000000e+00,0.000000e+00
2.738000e+02,1.855000e-19,0.000000e+00,0.000000e+00
3.160000e+02,1.132000e-19,0.000000e+00,0.000000e+00
