H+ + H2 --> H-+H2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
4.000000e+01,1.051000e-18,0.000000e+00,0.000000e+00
4.217000e+01,1.089000e-18,0.000000e+00,0.000000e+00
4.870000e+01,1.216000e-18,0.000000e+00,0.000000e+00
5.623000e+01,1.390000e-18,0.000000e+00,0.000000e+00
6.494000e+01,1.619000e-18,0.000000e+00,0.000000e+00
7.499000e+01,1.905000e-18,0.000000e+00,0.000000e+00
8.660000e+01,2.231000e-18,0.000000e+00,0.000000e+00
1.000000e+02,2.560000e-18,0.000000e+00,0.000000e+00
1.155000e+02,2.842000e-18,0.000000e+00,0.000000e+00
1.334000e+02,3.021000e-18,0.000000e+00,0.000000e+00
1.540000e+02,3.064000e-18,0.000000e+00,0.000000e+00
1.778000e+02,2.974000e-18,0.000000e+00,0.000000e+00
2.054000e+02,2.783000e-18,0.000000e+00,0.000000e+00
2.371000e+02,2.534000e-18,0.000000e+00,0.000000e+00
2.738000e+02,2.266000e-18,0.000000e+00,0.000000e+00
3.162000e+02,2.007000e-18,0.000000e+00,0.000000e+00
3.652000e+02,1.773000e-18,0.000000e+00,0.000000e+00
4.217000e+02,1.572000e-18,0.000000e+00,0.000000e+00
4.870000e+02,1.410000e-18,0.000000e+00,0.000000e+00
5.623000e+02,1.289000e-18,0.000000e+00,0.000000e+00
6.494000e+02,1.216000e-18,0.000000e+00,0.000000e+00
7.499000e+02,1.200000e-18,0.000000e+00,0.000000e+00
8.660000e+02,1.260000e-18,0.000000e+00,0.000000e+00
1.000000e+03,1.421000e-18,0.000000e+00,0.000000e+00
1.155000e+03,1.714000e-18,0.000000e+00,0.000000e+00
1.334000e+03,2.173000e-18,0.000000e+00,0.000000e+00
1.540000e+03,2.832000e-18,0.000000e+00,0.000000e+00
1.778000e+03,3.734000e-18,0.000000e+00,0.000000e+00
2.054000e+03,4.932000e-18,0.000000e+00,0.000000e+00
2.371000e+03,6.478000e-18,0.000000e+00,0.000000e+00
2.738000e+03,8.413000e-18,0.000000e+00,0.000000e+00
3.162000e+03,1.073000e-17,0.000000e+00,0.000000e+00
3.652000e+03,1.336000e-17,0.000000e+00,0.000000e+00
4.217000e+03,1.609000e-17,0.000000e+00,0.000000e+00
4.870000e+03,1.863000e-17,0.000000e+00,0.000000e+00
5.623000e+03,2.067000e-17,0.000000e+00,0.000000e+00
6.494000e+03,2.202000e-17,0.000000e+00,0.000000e+00
7.499000e+03,2.271000e-17,0.000000e+00,0.000000e+00
8.660000e+03,2.292000e-17,0.000000e+00,0.000000e+00
1.000000e+04,2.286000e-17,0.000000e+00,0.000000e+00
1.155000e+04,2.265000e-17,0.000000e+00,0.000000e+00
1.334000e+04,2.228000e-17,0.000000e+00,0.000000e+00
1.540000e+04,2.162000e-17,0.000000e+00,0.000000e+00
1.778000e+04,2.053000e-17,0.000000e+00,0.000000e+00
2.054000e+04,1.899000e-17,0.000000e+00,0.000000e+00
2.371000e+04,1.707000e-17,0.000000e+00,0.000000e+00
2.738000e+04,1.492000e-17,0.000000e+00,0.000000e+00
3.162000e+04,1.270000e-17,0.000000e+00,0.000000e+00
3.652000e+04,1.056000e-17,0.000000e+00,0.000000e+00
4.217000e+04,8.615000e-18,0.000000e+00,0.000000e+00
4.870000e+04,6.938000e-18,0.000000e+00,0.000000e+00
5.623000e+04,5.542000e-18,0.000000e+00,0.000000e+00
6.494000e+04,4.390000e-18,0.000000e+00,0.000000e+00
7.499000e+04,3.422000e-18,0.000000e+00,0.000000e+00
8.660000e+04,2.590000e-18,0.000000e+00,0.000000e+00
1.000000e+05,1.872000e-18,0.000000e+00,0.000000e+00
1.155000e+05,1.272000e-18,0.000000e+00,0.000000e+00
1.334000e+05,8.056000e-19,0.000000e+00,0.000000e+00
1.540000e+05,4.765000e-19,0.000000e+00,0.000000e+00
1.778000e+05,2.660000e-19,0.000000e+00,0.000000e+00
2.054000e+05,1.421000e-19,0.000000e+00,0.000000e+00
2.371000e+05,7.373000e-20,0.000000e+00,0.000000e+00
2.738000e+05,3.752000e-20,0.000000e+00,0.000000e+00
3.162000e+05,1.887000e-20,0.000000e+00,0.000000e+00
3.652000e+05,9.418000e-21,0.000000e+00,0.000000e+00
4.217000e+05,4.682000e-21,0.000000e+00,0.000000e+00
4.600000e+05,3.065000e-21,0.000000e+00,0.000000e+00
