H+ + H2 --> H(H-¦Â)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+02,4.333000e-20,0.000000e+00,0.000000e+00
5.623000e+02,5.637000e-20,0.000000e+00,0.000000e+00
6.494000e+02,7.643000e-20,0.000000e+00,0.000000e+00
7.499000e+02,1.012000e-19,0.000000e+00,0.000000e+00
8.660000e+02,1.305000e-19,0.000000e+00,0.000000e+00
1.000000e+03,1.633000e-19,0.000000e+00,0.000000e+00
1.155000e+03,1.980000e-19,0.000000e+00,0.000000e+00
1.334000e+03,2.330000e-19,0.000000e+00,0.000000e+00
1.540000e+03,2.666000e-19,0.000000e+00,0.000000e+00
1.778000e+03,2.977000e-19,0.000000e+00,0.000000e+00
2.054000e+03,3.257000e-19,0.000000e+00,0.000000e+00
2.371000e+03,3.508000e-19,0.000000e+00,0.000000e+00
2.738000e+03,3.731000e-19,0.000000e+00,0.000000e+00
3.162000e+03,3.931000e-19,0.000000e+00,0.000000e+00
3.652000e+03,4.112000e-19,0.000000e+00,0.000000e+00
4.217000e+03,4.279000e-19,0.000000e+00,0.000000e+00
4.870000e+03,4.435000e-19,0.000000e+00,0.000000e+00
5.623000e+03,4.582000e-19,0.000000e+00,0.000000e+00
6.494000e+03,4.721000e-19,0.000000e+00,0.000000e+00
7.499000e+03,4.850000e-19,0.000000e+00,0.000000e+00
8.660000e+03,4.968000e-19,0.000000e+00,0.000000e+00
1.000000e+04,5.071000e-19,0.000000e+00,0.000000e+00
1.155000e+04,5.150000e-19,0.000000e+00,0.000000e+00
1.334000e+04,5.195000e-19,0.000000e+00,0.000000e+00
1.540000e+04,5.192000e-19,0.000000e+00,0.000000e+00
1.778000e+04,5.122000e-19,0.000000e+00,0.000000e+00
2.054000e+04,4.966000e-19,0.000000e+00,0.000000e+00
2.371000e+04,4.705000e-19,0.000000e+00,0.000000e+00
2.738000e+04,4.332000e-19,0.000000e+00,0.000000e+00
3.162000e+04,3.854000e-19,0.000000e+00,0.000000e+00
3.652000e+04,3.302000e-19,0.000000e+00,0.000000e+00
4.217000e+04,2.721000e-19,0.000000e+00,0.000000e+00
4.870000e+04,2.161000e-19,0.000000e+00,0.000000e+00
5.623000e+04,1.661000e-19,0.000000e+00,0.000000e+00
6.494000e+04,1.241000e-19,0.000000e+00,0.000000e+00
7.499000e+04,9.084000e-20,0.000000e+00,0.000000e+00
8.660000e+04,6.540000e-20,0.000000e+00,0.000000e+00
1.000000e+05,4.654000e-20,0.000000e+00,0.000000e+00
1.155000e+05,3.283000e-20,0.000000e+00,0.000000e+00
1.334000e+05,2.303000e-20,0.000000e+00,0.000000e+00
1.500000e+05,1.718000e-20,0.000000e+00,0.000000e+00
