H+ + H2 --> H(3s)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,3.311000e-19,0.000000e+00,0.000000e+00
1.155000e+03,3.801000e-19,0.000000e+00,0.000000e+00
1.334000e+03,4.289000e-19,0.000000e+00,0.000000e+00
1.540000e+03,4.732000e-19,0.000000e+00,0.000000e+00
1.778000e+03,5.097000e-19,0.000000e+00,0.000000e+00
2.054000e+03,5.395000e-19,0.000000e+00,0.000000e+00
2.371000e+03,5.691000e-19,0.000000e+00,0.000000e+00
2.738000e+03,6.082000e-19,0.000000e+00,0.000000e+00
3.162000e+03,6.650000e-19,0.000000e+00,0.000000e+00
3.652000e+03,7.450000e-19,0.000000e+00,0.000000e+00
4.217000e+03,8.516000e-19,0.000000e+00,0.000000e+00
4.870000e+03,9.873000e-19,0.000000e+00,0.000000e+00
5.623000e+03,1.155000e-18,0.000000e+00,0.000000e+00
6.494000e+03,1.359000e-18,0.000000e+00,0.000000e+00
7.499000e+03,1.603000e-18,0.000000e+00,0.000000e+00
8.660000e+03,1.893000e-18,0.000000e+00,0.000000e+00
1.000000e+04,2.237000e-18,0.000000e+00,0.000000e+00
1.155000e+04,2.641000e-18,0.000000e+00,0.000000e+00
1.334000e+04,3.114000e-18,0.000000e+00,0.000000e+00
1.540000e+04,3.661000e-18,0.000000e+00,0.000000e+00
1.778000e+04,4.280000e-18,0.000000e+00,0.000000e+00
2.054000e+04,4.958000e-18,0.000000e+00,0.000000e+00
2.371000e+04,5.658000e-18,0.000000e+00,0.000000e+00
2.738000e+04,6.299000e-18,0.000000e+00,0.000000e+00
3.162000e+04,6.755000e-18,0.000000e+00,0.000000e+00
3.652000e+04,6.864000e-18,0.000000e+00,0.000000e+00
4.217000e+04,6.507000e-18,0.000000e+00,0.000000e+00
4.870000e+04,5.699000e-18,0.000000e+00,0.000000e+00
5.623000e+04,4.614000e-18,0.000000e+00,0.000000e+00
6.494000e+04,3.487000e-18,0.000000e+00,0.000000e+00
7.499000e+04,2.493000e-18,0.000000e+00,0.000000e+00
8.660000e+04,1.707000e-18,0.000000e+00,0.000000e+00
1.000000e+05,1.129000e-18,0.000000e+00,0.000000e+00
1.155000e+05,7.236000e-19,0.000000e+00,0.000000e+00
1.334000e+05,4.505000e-19,0.000000e+00,0.000000e+00
1.540000e+05,2.724000e-19,0.000000e+00,0.000000e+00
1.778000e+05,1.598000e-19,0.000000e+00,0.000000e+00
2.054000e+05,9.106000e-20,0.000000e+00,0.000000e+00
2.371000e+05,5.044000e-20,0.000000e+00,0.000000e+00
2.738000e+05,2.723000e-20,0.000000e+00,0.000000e+00
3.000000e+05,1.821000e-20,0.000000e+00,0.000000e+00
