H + H2 --> H+(H++H+)+2e
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+03,1.614000e-19,0.000000e+00,0.000000e+00
5.623000e+03,2.204000e-19,0.000000e+00,0.000000e+00
6.494000e+03,3.202000e-19,0.000000e+00,0.000000e+00
7.499000e+03,4.597000e-19,0.000000e+00,0.000000e+00
8.660000e+03,6.492000e-19,0.000000e+00,0.000000e+00
1.000000e+04,8.965000e-19,0.000000e+00,0.000000e+00
1.155000e+04,1.203000e-18,0.000000e+00,0.000000e+00
1.334000e+04,1.559000e-18,0.000000e+00,0.000000e+00
1.540000e+04,1.943000e-18,0.000000e+00,0.000000e+00
1.778000e+04,2.323000e-18,0.000000e+00,0.000000e+00
2.054000e+04,2.667000e-18,0.000000e+00,0.000000e+00
2.371000e+04,2.949000e-18,0.000000e+00,0.000000e+00
2.738000e+04,3.157000e-18,0.000000e+00,0.000000e+00
3.162000e+04,3.285000e-18,0.000000e+00,0.000000e+00
3.652000e+04,3.331000e-18,0.000000e+00,0.000000e+00
4.217000e+04,3.291000e-18,0.000000e+00,0.000000e+00
4.870000e+04,3.159000e-18,0.000000e+00,0.000000e+00
5.000000e+04,3.124000e-18,0.000000e+00,0.000000e+00
