H + H2 --> H(2s)(projectile)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+03,5.522000e-18,0.000000e+00,0.000000e+00
2.054000e+03,5.591000e-18,0.000000e+00,0.000000e+00
2.371000e+03,5.983000e-18,0.000000e+00,0.000000e+00
2.738000e+03,6.403000e-18,0.000000e+00,0.000000e+00
3.162000e+03,6.853000e-18,0.000000e+00,0.000000e+00
3.652000e+03,7.333000e-18,0.000000e+00,0.000000e+00
4.217000e+03,7.847000e-18,0.000000e+00,0.000000e+00
4.870000e+03,8.394000e-18,0.000000e+00,0.000000e+00
5.623000e+03,8.976000e-18,0.000000e+00,0.000000e+00
6.494000e+03,9.593000e-18,0.000000e+00,0.000000e+00
7.499000e+03,1.024000e-17,0.000000e+00,0.000000e+00
8.660000e+03,1.091000e-17,0.000000e+00,0.000000e+00
1.000000e+04,1.157000e-17,0.000000e+00,0.000000e+00
1.155000e+04,1.219000e-17,0.000000e+00,0.000000e+00
1.334000e+04,1.270000e-17,0.000000e+00,0.000000e+00
1.540000e+04,1.296000e-17,0.000000e+00,0.000000e+00
1.778000e+04,1.279000e-17,0.000000e+00,0.000000e+00
2.054000e+04,1.200000e-17,0.000000e+00,0.000000e+00
2.371000e+04,1.050000e-17,0.000000e+00,0.000000e+00
2.500000e+04,9.794000e-18,0.000000e+00,0.000000e+00
