H + H2 --> H(3p and 3d)+H2
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+02,5.735000e-18,0.000000e+00,0.000000e+00
2.054000e+02,5.898000e-18,0.000000e+00,0.000000e+00
2.371000e+02,6.813000e-18,0.000000e+00,0.000000e+00
2.738000e+02,7.762000e-18,0.000000e+00,0.000000e+00
3.162000e+02,8.710000e-18,0.000000e+00,0.000000e+00
3.652000e+02,9.621000e-18,0.000000e+00,0.000000e+00
4.217000e+02,1.046000e-17,0.000000e+00,0.000000e+00
4.870000e+02,1.120000e-17,0.000000e+00,0.000000e+00
5.623000e+02,1.182000e-17,0.000000e+00,0.000000e+00
6.494000e+02,1.231000e-17,0.000000e+00,0.000000e+00
7.499000e+02,1.268000e-17,0.000000e+00,0.000000e+00
8.660000e+02,1.293000e-17,0.000000e+00,0.000000e+00
1.000000e+03,1.308000e-17,0.000000e+00,0.000000e+00
1.155000e+03,1.312000e-17,0.000000e+00,0.000000e+00
1.334000e+03,1.306000e-17,0.000000e+00,0.000000e+00
1.540000e+03,1.286000e-17,0.000000e+00,0.000000e+00
1.778000e+03,1.248000e-17,0.000000e+00,0.000000e+00
2.054000e+03,1.186000e-17,0.000000e+00,0.000000e+00
2.371000e+03,1.093000e-17,0.000000e+00,0.000000e+00
2.738000e+03,9.695000e-18,0.000000e+00,0.000000e+00
3.162000e+03,8.281000e-18,0.000000e+00,0.000000e+00
3.652000e+03,6.910000e-18,0.000000e+00,0.000000e+00
4.217000e+03,5.788000e-18,0.000000e+00,0.000000e+00
4.870000e+03,4.992000e-18,0.000000e+00,0.000000e+00
5.623000e+03,4.479000e-18,0.000000e+00,0.000000e+00
6.494000e+03,4.159000e-18,0.000000e+00,0.000000e+00
7.499000e+03,3.950000e-18,0.000000e+00,0.000000e+00
8.660000e+03,3.791000e-18,0.000000e+00,0.000000e+00
1.000000e+04,3.638000e-18,0.000000e+00,0.000000e+00
1.155000e+04,3.459000e-18,0.000000e+00,0.000000e+00
1.334000e+04,3.222000e-18,0.000000e+00,0.000000e+00
1.540000e+04,2.910000e-18,0.000000e+00,0.000000e+00
1.778000e+04,2.532000e-18,0.000000e+00,0.000000e+00
2.054000e+04,2.133000e-18,0.000000e+00,0.000000e+00
2.371000e+04,1.782000e-18,0.000000e+00,0.000000e+00
2.738000e+04,1.526000e-18,0.000000e+00,0.000000e+00
3.162000e+04,1.370000e-18,0.000000e+00,0.000000e+00
3.652000e+04,1.290000e-18,0.000000e+00,0.000000e+00
4.217000e+04,1.255000e-18,0.000000e+00,0.000000e+00
4.870000e+04,1.241000e-18,0.000000e+00,0.000000e+00
5.623000e+04,1.232000e-18,0.000000e+00,0.000000e+00
6.494000e+04,1.221000e-18,0.000000e+00,0.000000e+00
7.499000e+04,1.203000e-18,0.000000e+00,0.000000e+00
8.660000e+04,1.176000e-18,0.000000e+00,0.000000e+00
1.000000e+05,1.136000e-18,0.000000e+00,0.000000e+00
