H + H2 --> H(4p and 4d)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+02,9.350000e-19,0.000000e+00,0.000000e+00
2.054000e+02,9.651000e-19,0.000000e+00,0.000000e+00
2.371000e+02,1.142000e-18,0.000000e+00,0.000000e+00
2.738000e+02,1.339000e-18,0.000000e+00,0.000000e+00
3.162000e+02,1.551000e-18,0.000000e+00,0.000000e+00
3.652000e+02,1.769000e-18,0.000000e+00,0.000000e+00
4.217000e+02,1.981000e-18,0.000000e+00,0.000000e+00
4.870000e+02,2.177000e-18,0.000000e+00,0.000000e+00
5.623000e+02,2.347000e-18,0.000000e+00,0.000000e+00
6.494000e+02,2.490000e-18,0.000000e+00,0.000000e+00
7.499000e+02,2.611000e-18,0.000000e+00,0.000000e+00
8.660000e+02,2.719000e-18,0.000000e+00,0.000000e+00
1.000000e+03,2.819000e-18,0.000000e+00,0.000000e+00
1.155000e+03,2.910000e-18,0.000000e+00,0.000000e+00
1.334000e+03,2.977000e-18,0.000000e+00,0.000000e+00
1.540000e+03,3.004000e-18,0.000000e+00,0.000000e+00
1.778000e+03,2.969000e-18,0.000000e+00,0.000000e+00
2.054000e+03,2.861000e-18,0.000000e+00,0.000000e+00
2.371000e+03,2.683000e-18,0.000000e+00,0.000000e+00
2.500000e+03,2.602000e-18,0.000000e+00,0.000000e+00
