H+ + H2 --> H(H-¦¡)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.500000e+03,2.096000e-19,0.000000e+00,0.000000e+00
1.540000e+03,2.149000e-19,0.000000e+00,0.000000e+00
1.778000e+03,2.436000e-19,0.000000e+00,0.000000e+00
2.054000e+03,2.736000e-19,0.000000e+00,0.000000e+00
2.371000e+03,3.093000e-19,0.000000e+00,0.000000e+00
2.738000e+03,3.565000e-19,0.000000e+00,0.000000e+00
3.162000e+03,4.222000e-19,0.000000e+00,0.000000e+00
3.652000e+03,5.143000e-19,0.000000e+00,0.000000e+00
4.217000e+03,6.413000e-19,0.000000e+00,0.000000e+00
4.870000e+03,8.118000e-19,0.000000e+00,0.000000e+00
5.623000e+03,1.033000e-18,0.000000e+00,0.000000e+00
6.494000e+03,1.305000e-18,0.000000e+00,0.000000e+00
7.499000e+03,1.620000e-18,0.000000e+00,0.000000e+00
8.660000e+03,1.952000e-18,0.000000e+00,0.000000e+00
1.000000e+04,2.262000e-18,0.000000e+00,0.000000e+00
1.155000e+04,2.502000e-18,0.000000e+00,0.000000e+00
1.334000e+04,2.638000e-18,0.000000e+00,0.000000e+00
1.540000e+04,2.657000e-18,0.000000e+00,0.000000e+00
1.778000e+04,2.576000e-18,0.000000e+00,0.000000e+00
2.054000e+04,2.423000e-18,0.000000e+00,0.000000e+00
2.371000e+04,2.229000e-18,0.000000e+00,0.000000e+00
2.738000e+04,2.018000e-18,0.000000e+00,0.000000e+00
3.162000e+04,1.807000e-18,0.000000e+00,0.000000e+00
3.652000e+04,1.607000e-18,0.000000e+00,0.000000e+00
4.217000e+04,1.423000e-18,0.000000e+00,0.000000e+00
4.870000e+04,1.256000e-18,0.000000e+00,0.000000e+00
5.623000e+04,1.106000e-18,0.000000e+00,0.000000e+00
6.494000e+04,9.730000e-19,0.000000e+00,0.000000e+00
7.499000e+04,8.553000e-19,0.000000e+00,0.000000e+00
8.660000e+04,7.516000e-19,0.000000e+00,0.000000e+00
1.000000e+05,6.602000e-19,0.000000e+00,0.000000e+00
1.155000e+05,5.800000e-19,0.000000e+00,0.000000e+00
1.334000e+05,5.096000e-19,0.000000e+00,0.000000e+00
1.540000e+05,4.479000e-19,0.000000e+00,0.000000e+00
1.778000e+05,3.939000e-19,0.000000e+00,0.000000e+00
2.054000e+05,3.467000e-19,0.000000e+00,0.000000e+00
2.371000e+05,3.055000e-19,0.000000e+00,0.000000e+00
2.738000e+05,2.696000e-19,0.000000e+00,0.000000e+00
3.162000e+05,2.383000e-19,0.000000e+00,0.000000e+00
3.652000e+05,2.109000e-19,0.000000e+00,0.000000e+00
4.217000e+05,1.867000e-19,0.000000e+00,0.000000e+00
4.870000e+05,1.654000e-19,0.000000e+00,0.000000e+00
5.623000e+05,1.463000e-19,0.000000e+00,0.000000e+00
6.494000e+05,1.292000e-19,0.000000e+00,0.000000e+00
7.499000e+05,1.140000e-19,0.000000e+00,0.000000e+00
8.660000e+05,1.004000e-19,0.000000e+00,0.000000e+00
1.000000e+06,8.834000e-20,0.000000e+00,0.000000e+00
