H-1+ + H2 --> H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
4.000000e+03,5.100000e-16,0.000000e+00,0.000000e+00
5.000000e+03,5.100000e-16,0.000000e+00,0.000000e+00
7.000000e+03,5.100000e-16,0.000000e+00,0.000000e+00
9.000000e+03,5.200000e-16,0.000000e+00,0.000000e+00
1.100000e+04,5.100000e-16,0.000000e+00,0.000000e+00
1.300000e+04,4.950000e-16,0.000000e+00,0.000000e+00
1.500000e+04,4.580000e-16,0.000000e+00,0.000000e+00
2.000000e+04,4.200000e-16,0.000000e+00,0.000000e+00
2.500000e+04,4.020000e-16,0.000000e+00,0.000000e+00
3.000000e+04,3.850000e-16,0.000000e+00,0.000000e+00
4.000000e+05,8.500000e-17,0.000000e+00,0.000000e+00
6.000000e+05,6.700000e-17,0.000000e+00,0.000000e+00
8.000000e+05,5.200000e-17,0.000000e+00,0.000000e+00
1.000000e+06,4.500000e-17,0.000000e+00,0.000000e+00
1.200000e+06,3.780000e-17,0.000000e+00,0.000000e+00
1.400000e+06,3.270000e-17,0.000000e+00,0.000000e+00
