H-1+ + He --> H+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+03,4.500000e-17,0.000000e+00,0.000000e+00
7.000000e+03,4.500000e-17,0.000000e+00,0.000000e+00
9.000000e+03,4.500000e-17,0.000000e+00,0.000000e+00
1.100000e+04,4.400000e-17,0.000000e+00,0.000000e+00
1.300000e+04,4.300000e-17,0.000000e+00,0.000000e+00
1.500000e+04,4.200000e-17,0.000000e+00,0.000000e+00
2.000000e+04,3.500000e-17,0.000000e+00,0.000000e+00
2.500000e+04,3.200000e-17,0.000000e+00,0.000000e+00
3.000000e+04,3.000000e-17,0.000000e+00,0.000000e+00
3.500000e+04,2.700000e-17,0.000000e+00,0.000000e+00
4.000000e+04,2.500000e-17,0.000000e+00,0.000000e+00
