H+ + Ar --> H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+02,2.000000e-16,0.000000e+00,0.000000e+00
4.000000e+02,3.800000e-16,0.000000e+00,0.000000e+00
6.000000e+02,6.200000e-16,0.000000e+00,0.000000e+00
8.000000e+02,9.500000e-16,0.000000e+00,0.000000e+00
1.000000e+03,1.200000e-15,0.000000e+00,0.000000e+00
2.000000e+03,1.400000e-15,0.000000e+00,0.000000e+00
3.000000e+03,1.450000e-15,0.000000e+00,0.000000e+00
4.000000e+03,1.550000e-15,0.000000e+00,0.000000e+00
5.000000e+03,1.300000e-15,0.000000e+00,0.000000e+00
7.000000e+03,1.170000e-15,0.000000e+00,0.000000e+00
9.000000e+03,1.050000e-15,0.000000e+00,0.000000e+00
1.100000e+04,9.000000e-16,0.000000e+00,0.000000e+00
1.300000e+04,8.300000e-16,0.000000e+00,0.000000e+00
1.500000e+04,8.000000e-16,0.000000e+00,0.000000e+00
2.000000e+04,7.100000e-16,0.000000e+00,0.000000e+00
2.500000e+04,6.400000e-16,0.000000e+00,0.000000e+00
3.000000e+04,5.900000e-16,0.000000e+00,0.000000e+00
3.500000e+04,5.000000e-16,0.000000e+00,0.000000e+00
4.000000e+04,4.400000e-16,0.000000e+00,0.000000e+00
4.500000e+04,3.800000e-16,0.000000e+00,0.000000e+00
5.000000e+04,3.300000e-16,0.000000e+00,0.000000e+00
6.000000e+04,2.200000e-16,0.000000e+00,0.000000e+00
7.000000e+04,2.000000e-16,0.000000e+00,0.000000e+00
8.000000e+04,1.650000e-16,0.000000e+00,0.000000e+00
9.000000e+04,1.200000e-16,0.000000e+00,0.000000e+00
1.000000e+05,9.800000e-17,0.000000e+00,0.000000e+00
1.500000e+05,3.800000e-17,0.000000e+00,0.000000e+00
2.000000e+05,1.080000e-17,0.000000e+00,0.000000e+00
2.500000e+05,3.800000e-18,0.000000e+00,0.000000e+00
3.000000e+05,1.500000e-18,0.000000e+00,0.000000e+00
3.500000e+05,7.400000e-19,0.000000e+00,0.000000e+00
4.000000e+05,5.000000e-19,0.000000e+00,0.000000e+00
4.500000e+05,3.800000e-19,0.000000e+00,0.000000e+00
5.000000e+05,2.900000e-19,0.000000e+00,0.000000e+00
6.000000e+05,1.900000e-19,0.000000e+00,0.000000e+00
7.000000e+05,1.500000e-19,0.000000e+00,0.000000e+00
8.000000e+05,1.100000e-19,0.000000e+00,0.000000e+00
9.000000e+05,8.800000e-20,0.000000e+00,0.000000e+00
1.000000e+06,7.600000e-20,0.000000e+00,0.000000e+00
