H3+ + H2 --> H+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.480000e+01,1.617000e-17,0.000000e+00,0.000000e+00
1.540000e+01,1.890000e-17,0.000000e+00,0.000000e+00
1.778000e+01,3.052000e-17,0.000000e+00,0.000000e+00
2.054000e+01,4.487000e-17,0.000000e+00,0.000000e+00
2.371000e+01,6.184000e-17,0.000000e+00,0.000000e+00
2.738000e+01,8.098000e-17,0.000000e+00,0.000000e+00
3.162000e+01,1.014000e-16,0.000000e+00,0.000000e+00
3.652000e+01,1.217000e-16,0.000000e+00,0.000000e+00
4.217000e+01,1.402000e-16,0.000000e+00,0.000000e+00
4.870000e+01,1.553000e-16,0.000000e+00,0.000000e+00
5.623000e+01,1.658000e-16,0.000000e+00,0.000000e+00
6.494000e+01,1.711000e-16,0.000000e+00,0.000000e+00
7.499000e+01,1.714000e-16,0.000000e+00,0.000000e+00
8.660000e+01,1.676000e-16,0.000000e+00,0.000000e+00
1.000000e+02,1.605000e-16,0.000000e+00,0.000000e+00
1.155000e+02,1.514000e-16,0.000000e+00,0.000000e+00
1.334000e+02,1.411000e-16,0.000000e+00,0.000000e+00
1.540000e+02,1.303000e-16,0.000000e+00,0.000000e+00
1.778000e+02,1.195000e-16,0.000000e+00,0.000000e+00
2.054000e+02,1.092000e-16,0.000000e+00,0.000000e+00
2.371000e+02,9.945000e-17,0.000000e+00,0.000000e+00
2.738000e+02,9.039000e-17,0.000000e+00,0.000000e+00
3.162000e+02,8.207000e-17,0.000000e+00,0.000000e+00
3.652000e+02,7.451000e-17,0.000000e+00,0.000000e+00
4.217000e+02,6.768000e-17,0.000000e+00,0.000000e+00
4.870000e+02,6.157000e-17,0.000000e+00,0.000000e+00
5.623000e+02,5.614000e-17,0.000000e+00,0.000000e+00
6.494000e+02,5.136000e-17,0.000000e+00,0.000000e+00
7.499000e+02,4.720000e-17,0.000000e+00,0.000000e+00
8.660000e+02,4.365000e-17,0.000000e+00,0.000000e+00
1.000000e+03,4.071000e-17,0.000000e+00,0.000000e+00
1.155000e+03,3.836000e-17,0.000000e+00,0.000000e+00
1.334000e+03,3.662000e-17,0.000000e+00,0.000000e+00
1.540000e+03,3.551000e-17,0.000000e+00,0.000000e+00
1.778000e+03,3.507000e-17,0.000000e+00,0.000000e+00
2.054000e+03,3.534000e-17,0.000000e+00,0.000000e+00
2.371000e+03,3.637000e-17,0.000000e+00,0.000000e+00
2.738000e+03,3.824000e-17,0.000000e+00,0.000000e+00
3.162000e+03,4.101000e-17,0.000000e+00,0.000000e+00
3.652000e+03,4.474000e-17,0.000000e+00,0.000000e+00
4.217000e+03,4.950000e-17,0.000000e+00,0.000000e+00
4.870000e+03,5.534000e-17,0.000000e+00,0.000000e+00
5.623000e+03,6.226000e-17,0.000000e+00,0.000000e+00
6.494000e+03,7.024000e-17,0.000000e+00,0.000000e+00
7.499000e+03,7.923000e-17,0.000000e+00,0.000000e+00
8.660000e+03,8.911000e-17,0.000000e+00,0.000000e+00
1.000000e+04,9.972000e-17,0.000000e+00,0.000000e+00
1.155000e+04,1.109000e-16,0.000000e+00,0.000000e+00
1.334000e+04,1.223000e-16,0.000000e+00,0.000000e+00
1.540000e+04,1.339000e-16,0.000000e+00,0.000000e+00
1.778000e+04,1.453000e-16,0.000000e+00,0.000000e+00
2.054000e+04,1.564000e-16,0.000000e+00,0.000000e+00
2.371000e+04,1.670000e-16,0.000000e+00,0.000000e+00
2.738000e+04,1.771000e-16,0.000000e+00,0.000000e+00
3.162000e+04,1.866000e-16,0.000000e+00,0.000000e+00
3.652000e+04,1.954000e-16,0.000000e+00,0.000000e+00
4.217000e+04,2.036000e-16,0.000000e+00,0.000000e+00
4.870000e+04,2.112000e-16,0.000000e+00,0.000000e+00
5.623000e+04,2.183000e-16,0.000000e+00,0.000000e+00
6.494000e+04,2.249000e-16,0.000000e+00,0.000000e+00
7.499000e+04,2.310000e-16,0.000000e+00,0.000000e+00
8.660000e+04,2.368000e-16,0.000000e+00,0.000000e+00
1.000000e+05,2.422000e-16,0.000000e+00,0.000000e+00
1.150000e+05,2.473000e-16,0.000000e+00,0.000000e+00
