H3+ + H2 --> H(total,projectile)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
4.500000e+03,3.262000e-16,0.000000e+00,0.000000e+00
4.620000e+03,3.334000e-16,0.000000e+00,0.000000e+00
5.335000e+03,3.756000e-16,0.000000e+00,0.000000e+00
6.161000e+03,4.222000e-16,0.000000e+00,0.000000e+00
7.114000e+03,4.731000e-16,0.000000e+00,0.000000e+00
8.215000e+03,5.283000e-16,0.000000e+00,0.000000e+00
9.487000e+03,5.872000e-16,0.000000e+00,0.000000e+00
1.096000e+04,6.489000e-16,0.000000e+00,0.000000e+00
1.265000e+04,7.122000e-16,0.000000e+00,0.000000e+00
1.461000e+04,7.752000e-16,0.000000e+00,0.000000e+00
1.687000e+04,8.353000e-16,0.000000e+00,0.000000e+00
1.948000e+04,8.898000e-16,0.000000e+00,0.000000e+00
2.250000e+04,9.354000e-16,0.000000e+00,0.000000e+00
2.598000e+04,9.691000e-16,0.000000e+00,0.000000e+00
3.000000e+04,9.884000e-16,0.000000e+00,0.000000e+00
3.464000e+04,9.918000e-16,0.000000e+00,0.000000e+00
4.001000e+04,9.788000e-16,0.000000e+00,0.000000e+00
4.620000e+04,9.505000e-16,0.000000e+00,0.000000e+00
5.335000e+04,9.090000e-16,0.000000e+00,0.000000e+00
6.161000e+04,8.572000e-16,0.000000e+00,0.000000e+00
7.114000e+04,7.984000e-16,0.000000e+00,0.000000e+00
8.215000e+04,7.355000e-16,0.000000e+00,0.000000e+00
9.487000e+04,6.712000e-16,0.000000e+00,0.000000e+00
1.096000e+05,6.079000e-16,0.000000e+00,0.000000e+00
1.265000e+05,5.470000e-16,0.000000e+00,0.000000e+00
1.461000e+05,4.897000e-16,0.000000e+00,0.000000e+00
1.687000e+05,4.365000e-16,0.000000e+00,0.000000e+00
1.948000e+05,3.879000e-16,0.000000e+00,0.000000e+00
2.250000e+05,3.437000e-16,0.000000e+00,0.000000e+00
2.598000e+05,3.039000e-16,0.000000e+00,0.000000e+00
3.000000e+05,2.683000e-16,0.000000e+00,0.000000e+00
3.464000e+05,2.366000e-16,0.000000e+00,0.000000e+00
4.001000e+05,2.084000e-16,0.000000e+00,0.000000e+00
4.620000e+05,1.834000e-16,0.000000e+00,0.000000e+00
5.335000e+05,1.614000e-16,0.000000e+00,0.000000e+00
6.161000e+05,1.419000e-16,0.000000e+00,0.000000e+00
7.114000e+05,1.247000e-16,0.000000e+00,0.000000e+00
8.215000e+05,1.096000e-16,0.000000e+00,0.000000e+00
9.487000e+05,9.626000e-17,0.000000e+00,0.000000e+00
1.096000e+06,8.455000e-17,0.000000e+00,0.000000e+00
1.265000e+06,7.425000e-17,0.000000e+00,0.000000e+00
1.461000e+06,6.520000e-17,0.000000e+00,0.000000e+00
1.687000e+06,5.725000e-17,0.000000e+00,0.000000e+00
1.800000e+06,5.399000e-17,0.000000e+00,0.000000e+00
