HD+ (v=0) + He --> HeH++D
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.400000e-01,7.750000e-18,0.000000e+00,0.000000e+00
6.161000e-01,7.717000e-18,0.000000e+00,0.000000e+00
7.114000e-01,7.624000e-18,0.000000e+00,0.000000e+00
8.215000e-01,7.471000e-18,0.000000e+00,0.000000e+00
9.487000e-01,7.261000e-18,0.000000e+00,0.000000e+00
1.096000e+00,6.998000e-18,0.000000e+00,0.000000e+00
1.265000e+00,6.689000e-18,0.000000e+00,0.000000e+00
1.461000e+00,6.343000e-18,0.000000e+00,0.000000e+00
1.687000e+00,5.969000e-18,0.000000e+00,0.000000e+00
1.948000e+00,5.576000e-18,0.000000e+00,0.000000e+00
2.250000e+00,5.175000e-18,0.000000e+00,0.000000e+00
2.598000e+00,4.772000e-18,0.000000e+00,0.000000e+00
3.000000e+00,4.376000e-18,0.000000e+00,0.000000e+00
3.464000e+00,3.993000e-18,0.000000e+00,0.000000e+00
4.001000e+00,3.627000e-18,0.000000e+00,0.000000e+00
4.620000e+00,3.282000e-18,0.000000e+00,0.000000e+00
5.100000e+00,3.058000e-18,0.000000e+00,0.000000e+00
