He+ + CH4 --> H(H ¦Á)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
9.600000e+00,2.590000e-18,0.000000e+00,0.000000e+00
1.920000e+01,2.500000e-18,0.000000e+00,0.000000e+00
2.880000e+01,4.460000e-18,0.000000e+00,0.000000e+00
3.840000e+01,4.630000e-18,0.000000e+00,0.000000e+00
4.800000e+01,7.020000e-18,0.000000e+00,0.000000e+00
5.760000e+01,9.580000e-18,0.000000e+00,0.000000e+00
6.720000e+01,8.320000e-18,0.000000e+00,0.000000e+00
7.680000e+01,1.140000e-17,0.000000e+00,0.000000e+00
7.929600e+01,1.330000e-17,0.000000e+00,0.000000e+00
8.640000e+01,1.210000e-17,0.000000e+00,0.000000e+00
9.600000e+01,1.440000e-17,0.000000e+00,0.000000e+00
1.140480e+02,1.450000e-17,0.000000e+00,0.000000e+00
1.320960e+02,1.460000e-17,0.000000e+00,0.000000e+00
1.440000e+02,1.510000e-17,0.000000e+00,0.000000e+00
1.620480e+02,1.550000e-17,0.000000e+00,0.000000e+00
1.920000e+02,1.540000e-17,0.000000e+00,0.000000e+00
2.280960e+02,1.530000e-17,0.000000e+00,0.000000e+00
2.580480e+02,1.590000e-17,0.000000e+00,0.000000e+00
3.240960e+02,1.630000e-17,0.000000e+00,0.000000e+00
4.200960e+02,1.620000e-17,0.000000e+00,0.000000e+00
5.160960e+02,1.650000e-17,0.000000e+00,0.000000e+00
5.460480e+02,1.620000e-17,0.000000e+00,0.000000e+00
6.120960e+02,1.670000e-17,0.000000e+00,0.000000e+00
7.080960e+02,1.700000e-17,0.000000e+00,0.000000e+00
8.040960e+02,1.750000e-17,0.000000e+00,0.000000e+00
8.340480e+02,1.760000e-17,0.000000e+00,0.000000e+00
9.000960e+02,1.720000e-17,0.000000e+00,0.000000e+00
9.300480e+02,1.790000e-17,0.000000e+00,0.000000e+00
1.092096e+03,1.750000e-17,0.000000e+00,0.000000e+00
1.284096e+03,1.740000e-17,0.000000e+00,0.000000e+00
1.409856e+03,1.890000e-17,0.000000e+00,0.000000e+00
1.410048e+03,1.830000e-17,0.000000e+00,0.000000e+00
1.476096e+03,1.890000e-17,0.000000e+00,0.000000e+00
1.668096e+03,1.920000e-17,0.000000e+00,0.000000e+00
1.860096e+03,2.010000e-17,0.000000e+00,0.000000e+00
1.920000e+03,1.840000e-17,0.000000e+00,0.000000e+00
2.052096e+03,1.980000e-17,0.000000e+00,0.000000e+00
2.244096e+03,2.100000e-17,0.000000e+00,0.000000e+00
2.304000e+03,1.980000e-17,0.000000e+00,0.000000e+00
2.340096e+03,2.110000e-17,0.000000e+00,0.000000e+00
2.436096e+03,2.090000e-17,0.000000e+00,0.000000e+00
2.628096e+03,2.090000e-17,0.000000e+00,0.000000e+00
2.820096e+03,2.150000e-17,0.000000e+00,0.000000e+00
2.880000e+03,2.130000e-17,3.800000e-18,3.800000e-18
3.072000e+03,2.060000e-17,0.000000e+00,0.000000e+00
3.360000e+03,1.950000e-17,0.000000e+00,0.000000e+00
3.840000e+03,2.020000e-17,0.000000e+00,0.000000e+00
4.320000e+03,2.000000e-17,0.000000e+00,0.000000e+00
4.800000e+03,2.220000e-17,0.000000e+00,0.000000e+00
