He+ + CH4 --> He(58.4nm)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.606400e+01,1.870000e-20,0.000000e+00,0.000000e+00
6.604800e+01,1.220000e-19,7.000000e-20,7.000000e-20
1.140480e+02,1.590000e-19,0.000000e+00,0.000000e+00
1.520640e+02,1.340000e-19,0.000000e+00,0.000000e+00
1.620480e+02,1.920000e-19,0.000000e+00,0.000000e+00
2.480640e+02,4.780000e-19,0.000000e+00,0.000000e+00
2.580480e+02,2.850000e-19,0.000000e+00,0.000000e+00
3.440640e+02,4.120000e-19,0.000000e+00,0.000000e+00
4.400640e+02,5.550000e-19,3.190000e-19,3.190000e-19
5.360640e+02,5.880000e-19,0.000000e+00,0.000000e+00
5.460480e+02,5.680000e-19,0.000000e+00,0.000000e+00
6.320640e+02,7.590000e-19,0.000000e+00,0.000000e+00
7.280640e+02,8.760000e-19,0.000000e+00,0.000000e+00
8.240640e+02,1.190000e-18,0.000000e+00,0.000000e+00
8.340480e+02,8.200000e-19,0.000000e+00,0.000000e+00
9.200640e+02,1.020000e-18,5.220000e-19,5.220000e-19
1.112064e+03,1.480000e-18,0.000000e+00,0.000000e+00
1.304064e+03,1.440000e-18,0.000000e+00,0.000000e+00
1.496064e+03,1.530000e-18,0.000000e+00,0.000000e+00
1.688064e+03,1.730000e-18,0.000000e+00,0.000000e+00
1.920000e+03,1.680000e-18,0.000000e+00,0.000000e+00
2.112000e+03,1.940000e-18,0.000000e+00,0.000000e+00
2.304000e+03,1.730000e-18,0.000000e+00,0.000000e+00
2.496000e+03,1.900000e-18,0.000000e+00,0.000000e+00
2.688000e+03,2.190000e-18,0.000000e+00,0.000000e+00
2.880000e+03,2.280000e-18,1.140000e-18,1.140000e-18
3.360000e+03,2.260000e-18,0.000000e+00,0.000000e+00
3.840000e+03,2.290000e-18,0.000000e+00,0.000000e+00
4.320000e+03,2.320000e-18,0.000000e+00,0.000000e+00
4.800000e+03,2.600000e-18,1.280000e-18,1.280000e-18
