He+ + H2 (v=1) --> He+H+H+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
6.120000e+00,2.200000e-18,0.000000e+00,0.000000e+00
7.410000e+00,3.010000e-18,0.000000e+00,0.000000e+00
8.640000e+00,3.680000e-18,0.000000e+00,0.000000e+00
9.870000e+00,4.820000e-18,0.000000e+00,0.000000e+00
1.122000e+01,6.170000e-18,0.000000e+00,0.000000e+00
1.269000e+01,7.900000e-18,0.000000e+00,0.000000e+00
1.425000e+01,9.450000e-18,0.000000e+00,0.000000e+00
1.548000e+01,1.110000e-17,0.000000e+00,0.000000e+00
1.725000e+01,1.350000e-17,0.000000e+00,0.000000e+00
1.848000e+01,1.580000e-17,0.000000e+00,0.000000e+00
1.995000e+01,1.730000e-17,0.000000e+00,0.000000e+00
2.142000e+01,1.980000e-17,0.000000e+00,0.000000e+00
2.271000e+01,2.120000e-17,0.000000e+00,0.000000e+00
2.385000e+01,2.370000e-17,0.000000e+00,0.000000e+00
2.526000e+01,2.540000e-17,0.000000e+00,0.000000e+00
2.649000e+01,2.720000e-17,0.000000e+00,0.000000e+00
2.766000e+01,2.910000e-17,0.000000e+00,0.000000e+00
2.883000e+01,2.970000e-17,0.000000e+00,0.000000e+00
2.979000e+01,3.110000e-17,0.000000e+00,0.000000e+00
