He+ + H2 --> H(H-¦¡)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+01,8.871000e-19,0.000000e+00,0.000000e+00
2.310000e+01,1.319000e-18,0.000000e+00,0.000000e+00
2.667000e+01,1.929000e-18,0.000000e+00,0.000000e+00
3.080000e+01,2.748000e-18,0.000000e+00,0.000000e+00
3.557000e+01,3.769000e-18,0.000000e+00,0.000000e+00
4.107000e+01,4.915000e-18,0.000000e+00,0.000000e+00
4.743000e+01,6.028000e-18,0.000000e+00,0.000000e+00
5.477000e+01,6.918000e-18,0.000000e+00,0.000000e+00
6.325000e+01,7.460000e-18,0.000000e+00,0.000000e+00
7.303000e+01,7.635000e-18,0.000000e+00,0.000000e+00
8.434000e+01,7.513000e-18,0.000000e+00,0.000000e+00
9.739000e+01,7.193000e-18,0.000000e+00,0.000000e+00
1.125000e+02,6.765000e-18,0.000000e+00,0.000000e+00
1.299000e+02,6.292000e-18,0.000000e+00,0.000000e+00
1.500000e+02,5.813000e-18,0.000000e+00,0.000000e+00
1.732000e+02,5.349000e-18,0.000000e+00,0.000000e+00
2.000000e+02,4.913000e-18,0.000000e+00,0.000000e+00
2.310000e+02,4.508000e-18,0.000000e+00,0.000000e+00
2.667000e+02,4.138000e-18,0.000000e+00,0.000000e+00
3.080000e+02,3.800000e-18,0.000000e+00,0.000000e+00
3.557000e+02,3.495000e-18,0.000000e+00,0.000000e+00
4.107000e+02,3.220000e-18,0.000000e+00,0.000000e+00
4.743000e+02,2.973000e-18,0.000000e+00,0.000000e+00
5.477000e+02,2.755000e-18,0.000000e+00,0.000000e+00
6.325000e+02,2.562000e-18,0.000000e+00,0.000000e+00
7.303000e+02,2.394000e-18,0.000000e+00,0.000000e+00
8.434000e+02,2.251000e-18,0.000000e+00,0.000000e+00
9.739000e+02,2.131000e-18,0.000000e+00,0.000000e+00
1.125000e+03,2.034000e-18,0.000000e+00,0.000000e+00
1.299000e+03,1.960000e-18,0.000000e+00,0.000000e+00
1.500000e+03,1.910000e-18,0.000000e+00,0.000000e+00
1.732000e+03,1.883000e-18,0.000000e+00,0.000000e+00
2.000000e+03,1.879000e-18,0.000000e+00,0.000000e+00
2.310000e+03,1.900000e-18,0.000000e+00,0.000000e+00
2.667000e+03,1.945000e-18,0.000000e+00,0.000000e+00
3.080000e+03,2.014000e-18,0.000000e+00,0.000000e+00
3.557000e+03,2.107000e-18,0.000000e+00,0.000000e+00
4.107000e+03,2.223000e-18,0.000000e+00,0.000000e+00
4.743000e+03,2.358000e-18,0.000000e+00,0.000000e+00
5.477000e+03,2.509000e-18,0.000000e+00,0.000000e+00
6.325000e+03,2.670000e-18,0.000000e+00,0.000000e+00
7.303000e+03,2.833000e-18,0.000000e+00,0.000000e+00
8.434000e+03,2.990000e-18,0.000000e+00,0.000000e+00
9.739000e+03,3.130000e-18,0.000000e+00,0.000000e+00
1.125000e+04,3.243000e-18,0.000000e+00,0.000000e+00
1.299000e+04,3.323000e-18,0.000000e+00,0.000000e+00
1.500000e+04,3.362000e-18,0.000000e+00,0.000000e+00
1.732000e+04,3.358000e-18,0.000000e+00,0.000000e+00
2.000000e+04,3.312000e-18,0.000000e+00,0.000000e+00
