He+ + H2 --> He++H(2p)+H(¦²)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.600000e+01,2.123000e-17,0.000000e+00,0.000000e+00
2.667000e+01,2.198000e-17,0.000000e+00,0.000000e+00
3.080000e+01,2.656000e-17,0.000000e+00,0.000000e+00
3.557000e+01,3.154000e-17,0.000000e+00,0.000000e+00
4.107000e+01,3.674000e-17,0.000000e+00,0.000000e+00
4.743000e+01,4.189000e-17,0.000000e+00,0.000000e+00
5.477000e+01,4.669000e-17,0.000000e+00,0.000000e+00
6.325000e+01,5.088000e-17,0.000000e+00,0.000000e+00
7.303000e+01,5.424000e-17,0.000000e+00,0.000000e+00
8.434000e+01,5.668000e-17,0.000000e+00,0.000000e+00
9.739000e+01,5.817000e-17,0.000000e+00,0.000000e+00
1.125000e+02,5.880000e-17,0.000000e+00,0.000000e+00
1.299000e+02,5.869000e-17,0.000000e+00,0.000000e+00
1.500000e+02,5.798000e-17,0.000000e+00,0.000000e+00
1.732000e+02,5.683000e-17,0.000000e+00,0.000000e+00
2.000000e+02,5.535000e-17,0.000000e+00,0.000000e+00
2.310000e+02,5.365000e-17,0.000000e+00,0.000000e+00
2.667000e+02,5.182000e-17,0.000000e+00,0.000000e+00
3.080000e+02,4.992000e-17,0.000000e+00,0.000000e+00
3.557000e+02,4.801000e-17,0.000000e+00,0.000000e+00
4.107000e+02,4.611000e-17,0.000000e+00,0.000000e+00
4.743000e+02,4.426000e-17,0.000000e+00,0.000000e+00
5.477000e+02,4.247000e-17,0.000000e+00,0.000000e+00
6.325000e+02,4.076000e-17,0.000000e+00,0.000000e+00
7.303000e+02,3.916000e-17,0.000000e+00,0.000000e+00
8.434000e+02,3.766000e-17,0.000000e+00,0.000000e+00
9.739000e+02,3.628000e-17,0.000000e+00,0.000000e+00
1.125000e+03,3.504000e-17,0.000000e+00,0.000000e+00
1.299000e+03,3.396000e-17,0.000000e+00,0.000000e+00
1.500000e+03,3.306000e-17,0.000000e+00,0.000000e+00
1.732000e+03,3.235000e-17,0.000000e+00,0.000000e+00
2.000000e+03,3.186000e-17,0.000000e+00,0.000000e+00
2.310000e+03,3.162000e-17,0.000000e+00,0.000000e+00
2.667000e+03,3.165000e-17,0.000000e+00,0.000000e+00
3.080000e+03,3.194000e-17,0.000000e+00,0.000000e+00
3.557000e+03,3.250000e-17,0.000000e+00,0.000000e+00
4.107000e+03,3.329000e-17,0.000000e+00,0.000000e+00
4.743000e+03,3.425000e-17,0.000000e+00,0.000000e+00
5.477000e+03,3.529000e-17,0.000000e+00,0.000000e+00
6.325000e+03,3.628000e-17,0.000000e+00,0.000000e+00
7.303000e+03,3.713000e-17,0.000000e+00,0.000000e+00
8.434000e+03,3.774000e-17,0.000000e+00,0.000000e+00
9.739000e+03,3.804000e-17,0.000000e+00,0.000000e+00
1.125000e+04,3.801000e-17,0.000000e+00,0.000000e+00
1.299000e+04,3.767000e-17,0.000000e+00,0.000000e+00
1.480000e+04,3.713000e-17,0.000000e+00,0.000000e+00
