He2+ + CH4 --> He+(n=1)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.000000e+02,1.560000e-16,1.600000e-17,1.600000e-17
6.000000e+02,1.390000e-16,1.000000e-17,1.000000e-17
7.000000e+02,1.440000e-16,7.000000e-18,7.000000e-18
1.000000e+03,1.440000e-16,8.000000e-18,8.000000e-18
1.500000e+03,1.400000e-16,1.000000e-17,1.000000e-17
2.000000e+03,1.020000e-16,1.000000e-17,1.000000e-17
1.500000e+03,8.600000e-17,1.300000e-17,1.300000e-17
3.000000e+03,8.100000e-17,7.000000e-18,7.000000e-18
3.500000e+03,6.100000e-17,7.000000e-18,7.000000e-18
4.000000e+03,6.200000e-17,1.300000e-17,1.300000e-17
