He + CH4 --> He2+ (CS)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,1.850000e-17,0.000000e+00,0.000000e+00
1.000000e+05,2.480000e-17,0.000000e+00,0.000000e+00
1.250000e+05,2.640000e-17,0.000000e+00,0.000000e+00
1.500000e+05,2.690000e-17,0.000000e+00,0.000000e+00
1.750000e+05,2.830000e-17,0.000000e+00,0.000000e+00
2.000000e+05,2.850000e-17,0.000000e+00,0.000000e+00
2.250000e+05,2.730000e-17,0.000000e+00,0.000000e+00
2.500000e+05,2.530000e-17,0.000000e+00,0.000000e+00
3.000000e+05,2.160000e-17,0.000000e+00,0.000000e+00
3.500000e+05,1.960000e-17,0.000000e+00,0.000000e+00
4.000000e+05,1.790000e-17,0.000000e+00,0.000000e+00
4.500000e+05,1.610000e-17,0.000000e+00,0.000000e+00
