He + CO --> He2+ (CS)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,2.550000e-17,0.000000e+00,0.000000e+00
1.000000e+05,3.700000e-17,0.000000e+00,0.000000e+00
1.250000e+05,4.300000e-17,0.000000e+00,0.000000e+00
1.500000e+05,4.660000e-17,0.000000e+00,0.000000e+00
1.750000e+05,4.730000e-17,0.000000e+00,0.000000e+00
2.000000e+05,4.730000e-17,0.000000e+00,0.000000e+00
2.250000e+05,4.510000e-17,0.000000e+00,0.000000e+00
2.500000e+05,4.270000e-17,0.000000e+00,0.000000e+00
3.000000e+05,3.930000e-17,0.000000e+00,0.000000e+00
3.500000e+05,3.470000e-17,0.000000e+00,0.000000e+00
4.000000e+05,2.970000e-17,0.000000e+00,0.000000e+00
4.500000e+05,2.750000e-17,0.000000e+00,0.000000e+00
