He+ + H2 --> He (CS)
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
7.500000e+04,5.010000e-17,0.000000e+00,0.000000e+00
1.000000e+05,2.640000e-17,0.000000e+00,0.000000e+00
1.250000e+05,1.390000e-17,0.000000e+00,0.000000e+00
1.500000e+05,8.600000e-18,0.000000e+00,0.000000e+00
1.750000e+05,4.930000e-18,0.000000e+00,0.000000e+00
2.000000e+05,2.910000e-18,0.000000e+00,0.000000e+00
2.250000e+05,2.140000e-18,0.000000e+00,0.000000e+00
2.500000e+05,1.410000e-18,0.000000e+00,0.000000e+00
3.000000e+05,7.010000e-19,0.000000e+00,0.000000e+00
3.500000e+05,3.920000e-19,0.000000e+00,0.000000e+00
4.000000e+05,2.390000e-19,0.000000e+00,0.000000e+00
4.500000e+05,1.370000e-19,0.000000e+00,0.000000e+00
