Kr9+ + CO --> Kr8+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
9.240000e+00,6.290000e-15,0.000000e+00,0.000000e+00
1.806000e+01,6.520000e-15,0.000000e+00,0.000000e+00
4.528000e+01,8.370000e-15,0.000000e+00,0.000000e+00
9.156000e+01,8.980000e-15,0.000000e+00,0.000000e+00
1.856000e+02,9.650000e-15,0.000000e+00,0.000000e+00
4.494000e+02,1.000000e-14,0.000000e+00,0.000000e+00
9.072000e+02,1.070000e-14,0.000000e+00,0.000000e+00
1.781000e+03,1.110000e-14,0.000000e+00,0.000000e+00
4.452000e+03,1.330000e-14,0.000000e+00,0.000000e+00
8.988000e+03,9.650000e-15,0.000000e+00,0.000000e+00
