Kr8+ + O2 --> Kr6+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
3.914000e+00,1.230000e-15,0.000000e+00,0.000000e+00
7.812000e+00,1.040000e-15,0.000000e+00,0.000000e+00
1.554000e+01,9.270000e-16,0.000000e+00,0.000000e+00
3.839000e+01,9.540000e-16,0.000000e+00,0.000000e+00
8.072000e+01,1.200000e-15,0.000000e+00,0.000000e+00
1.571000e+02,1.340000e-15,0.000000e+00,0.000000e+00
4.074000e+02,1.630000e-15,0.000000e+00,0.000000e+00
8.123000e+02,1.590000e-15,0.000000e+00,0.000000e+00
1.621000e+03,2.230000e-15,0.000000e+00,0.000000e+00
3.998000e+03,1.940000e-15,0.000000e+00,0.000000e+00
8.182000e+03,2.500000e-15,0.000000e+00,0.000000e+00
