N+ (3P) + CO --> N+CO+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.604000e+00,9.680000e-18,0.000000e+00,0.000000e+00
4.060000e+00,1.210000e-17,0.000000e+00,0.000000e+00
4.998000e+00,1.050000e-17,0.000000e+00,0.000000e+00
6.020000e+00,1.290000e-17,0.000000e+00,0.000000e+00
6.930000e+00,1.130000e-17,0.000000e+00,0.000000e+00
7.994000e+00,1.450000e-17,0.000000e+00,0.000000e+00
1.004000e+01,1.610000e-17,0.000000e+00,0.000000e+00
1.196000e+01,1.850000e-17,0.000000e+00,0.000000e+00
1.498000e+01,2.100000e-17,0.000000e+00,0.000000e+00
1.806000e+01,2.100000e-17,0.000000e+00,0.000000e+00
2.002000e+01,1.850000e-17,0.000000e+00,0.000000e+00
2.506000e+01,2.100000e-17,0.000000e+00,0.000000e+00
2.996000e+01,1.940000e-17,0.000000e+00,0.000000e+00
4.018000e+01,2.500000e-17,0.000000e+00,0.000000e+00
4.998000e+01,3.150000e-17,0.000000e+00,0.000000e+00
6.006000e+01,3.390000e-17,0.000000e+00,0.000000e+00
7.000000e+01,3.150000e-17,0.000000e+00,0.000000e+00
7.980000e+01,3.550000e-17,0.000000e+00,0.000000e+00
1.002000e+02,3.870000e-17,0.000000e+00,0.000000e+00
1.207000e+02,4.520000e-17,0.000000e+00,0.000000e+00
1.498000e+02,4.920000e-17,0.000000e+00,0.000000e+00
1.792000e+02,5.810000e-17,0.000000e+00,0.000000e+00
1.988000e+02,5.810000e-17,0.000000e+00,0.000000e+00
2.226000e+02,5.810000e-17,0.000000e+00,0.000000e+00
2.506000e+02,6.290000e-17,0.000000e+00,0.000000e+00
3.024000e+02,7.260000e-17,0.000000e+00,0.000000e+00
3.514000e+02,7.980000e-17,0.000000e+00,0.000000e+00
4.004000e+02,8.630000e-17,0.000000e+00,0.000000e+00
4.522000e+02,9.190000e-17,0.000000e+00,0.000000e+00
4.984000e+02,9.030000e-17,0.000000e+00,0.000000e+00
