N+ (3P) + CO --> N
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,1.510000e-15,0.000000e+00,0.000000e+00
1.200000e+03,1.550000e-15,0.000000e+00,0.000000e+00
1.400000e+03,1.610000e-15,0.000000e+00,0.000000e+00
1.600000e+03,1.570000e-15,0.000000e+00,0.000000e+00
1.800000e+03,1.570000e-15,0.000000e+00,0.000000e+00
2.000000e+03,1.500000e-15,0.000000e+00,0.000000e+00
2.200000e+03,1.510000e-15,0.000000e+00,0.000000e+00
2.400000e+03,1.440000e-15,0.000000e+00,0.000000e+00
2.600000e+03,1.350000e-15,0.000000e+00,0.000000e+00
2.800000e+03,1.400000e-15,0.000000e+00,0.000000e+00
3.000000e+03,1.300000e-15,0.000000e+00,0.000000e+00
