N+ (3P) + CO2 --> N
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,4.330000e-15,0.000000e+00,0.000000e+00
1.200000e+03,4.260000e-15,0.000000e+00,0.000000e+00
1.400000e+03,4.110000e-15,0.000000e+00,0.000000e+00
1.600000e+03,3.950000e-15,0.000000e+00,0.000000e+00
1.800000e+03,3.710000e-15,0.000000e+00,0.000000e+00
2.000000e+03,3.570000e-15,0.000000e+00,0.000000e+00
2.200000e+03,3.440000e-15,0.000000e+00,0.000000e+00
2.400000e+03,3.270000e-15,0.000000e+00,0.000000e+00
2.600000e+03,3.090000e-15,0.000000e+00,0.000000e+00
2.800000e+03,2.900000e-15,0.000000e+00,0.000000e+00
3.000000e+03,2.690000e-15,0.000000e+00,0.000000e+00
