N+ (3P) + NO --> N
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,1.440000e-15,0.000000e+00,0.000000e+00
1.200000e+03,1.340000e-15,0.000000e+00,0.000000e+00
1.400000e+03,1.220000e-15,0.000000e+00,0.000000e+00
1.600000e+03,1.110000e-15,0.000000e+00,0.000000e+00
1.800000e+03,1.040000e-15,0.000000e+00,0.000000e+00
2.000000e+03,9.960000e-16,0.000000e+00,0.000000e+00
2.200000e+03,9.170000e-16,0.000000e+00,0.000000e+00
2.400000e+03,8.710000e-16,0.000000e+00,0.000000e+00
2.600000e+03,8.580000e-16,0.000000e+00,0.000000e+00
2.800000e+03,8.450000e-16,0.000000e+00,0.000000e+00
3.000000e+03,7.860000e-16,0.000000e+00,0.000000e+00
