O+ (4S) + H2 --> O(3P2)+H2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
2.000000e+02,3.570000e-16,4.900000e-17,4.900000e-17
3.000000e+02,3.240000e-16,4.500000e-17,4.500000e-17
4.000000e+02,2.700000e-16,3.800000e-17,3.800000e-17
5.000000e+02,2.610000e-16,3.600000e-17,3.600000e-17
6.000000e+02,2.540000e-16,3.800000e-17,3.800000e-17
7.000000e+02,2.390000e-16,2.900000e-17,2.900000e-17
8.000000e+02,2.640000e-16,3.000000e-17,3.000000e-17
9.000000e+02,1.930000e-16,2.100000e-17,2.100000e-17
2.000000e+03,1.640000e-16,1.800000e-17,1.800000e-17
4.500000e+03,2.790000e-16,4.400000e-17,4.400000e-17
