O+ (4S) + N2 --> N+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.290143e+01,1.540000e-18,0.000000e+00,0.000000e+00
1.489714e+01,1.540000e-18,0.000000e+00,0.000000e+00
1.744286e+01,3.090000e-18,0.000000e+00,0.000000e+00
1.980000e+01,9.270000e-18,0.000000e+00,0.000000e+00
2.168571e+01,1.240000e-17,0.000000e+00,0.000000e+00
2.294286e+01,1.080000e-17,0.000000e+00,0.000000e+00
2.451429e+01,1.240000e-17,0.000000e+00,0.000000e+00
2.577143e+01,2.470000e-17,0.000000e+00,0.000000e+00
2.765714e+01,1.850000e-17,0.000000e+00,0.000000e+00
2.970000e+01,1.540000e-17,0.000000e+00,0.000000e+00
3.944286e+01,2.160000e-17,0.000000e+00,0.000000e+00
4.934286e+01,3.090000e-17,0.000000e+00,0.000000e+00
5.908571e+01,2.930000e-17,0.000000e+00,0.000000e+00
