O+ (2P) + H2O --> OH+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.983333e-01,3.130000e-15,5.760000e-16,5.750000e-16
2.965556e-01,2.770000e-15,3.960000e-16,3.890000e-16
3.966667e-01,2.500000e-15,2.310000e-16,2.470000e-16
4.948889e-01,2.360000e-15,1.790000e-16,1.950000e-16
5.950000e-01,2.040000e-15,8.900000e-17,8.300000e-17
7.933333e-01,1.930000e-15,8.300000e-17,7.400000e-17
9.992222e-01,1.870000e-15,1.490000e-16,1.650000e-16
1.516778e+00,1.350000e-15,8.900000e-17,9.000000e-17
2.021111e+00,1.330000e-15,3.800000e-17,3.700000e-17
2.531111e+00,1.200000e-15,0.000000e+00,0.000000e+00
3.003333e+00,1.110000e-15,9.700000e-17,9.000000e-17
3.532222e+00,1.000000e-15,7.500000e-17,8.140000e-17
4.042222e+00,1.070000e-15,1.190000e-16,1.200000e-16
4.533333e+00,8.600000e-16,1.120000e-16,1.200000e-16
6.138889e+00,7.930000e-16,4.480000e-17,2.250000e-17
8.103333e+00,7.930000e-16,5.980000e-17,4.490000e-17
1.012444e+01,7.030000e-16,7.470000e-17,8.230000e-17
1.507333e+01,5.910000e-16,5.980000e-17,3.740000e-17
2.002222e+01,5.980000e-16,2.990000e-17,2.990000e-17
2.512222e+01,5.980000e-16,4.480000e-17,4.490000e-17
2.984444e+01,5.910000e-16,5.230000e-17,2.990000e-17
4.023333e+01,4.930000e-16,5.230000e-17,4.490000e-17
5.024444e+01,5.010000e-16,4.480000e-17,5.240000e-17
