O+ (4S) + H2O --> O+H2O+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
3.400000e-01,1.240000e-14,2.900000e-16,2.900000e-16
4.911111e-01,1.160000e-14,5.000000e-16,5.000000e-16
1.001111e+00,8.820000e-15,1.400000e-15,1.400000e-15
1.473333e+00,6.610000e-15,4.730000e-16,4.730000e-16
1.945556e+00,6.320000e-15,1.420000e-15,1.420000e-15
2.474444e+00,6.000000e-15,2.100000e-16,2.100000e-16
2.946667e+00,5.610000e-15,8.950000e-16,8.950000e-16
3.475556e+00,4.820000e-15,1.850000e-16,1.850000e-16
3.910000e+00,5.210000e-15,4.740000e-16,4.740000e-16
4.401111e+00,5.210000e-15,4.740000e-16,4.740000e-16
4.948889e+00,4.710000e-15,1.840000e-16,1.840000e-16
5.855556e+00,4.610000e-15,8.950000e-16,8.950000e-16
7.801111e+00,4.000000e-15,2.890000e-16,2.890000e-16
9.860000e+00,3.890000e-15,8.950000e-16,8.950000e-16
1.456333e+01,4.110000e-15,5.790000e-16,5.790000e-16
1.938000e+01,3.530000e-15,3.680000e-16,3.680000e-16
2.939111e+01,3.500000e-15,2.100000e-16,2.100000e-16
3.913778e+01,3.390000e-15,2.110000e-16,2.110000e-16
5.934889e+01,3.080000e-15,6.060000e-16,6.060000e-16
7.901222e+01,3.370000e-15,6.050000e-16,6.050000e-16
9.856222e+01,4.450000e-15,2.100000e-16,2.100000e-16
