O+ + CO2 --> O+CO2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
5.840000e-01,1.910000e-15,0.000000e+00,0.000000e+00
8.192000e-01,2.010000e-15,0.000000e+00,0.000000e+00
8.976000e-01,2.120000e-15,0.000000e+00,0.000000e+00
1.301000e+00,1.750000e-15,0.000000e+00,0.000000e+00
1.426000e+00,1.870000e-15,0.000000e+00,0.000000e+00
1.616000e+00,1.660000e-15,0.000000e+00,0.000000e+00
1.712000e+00,1.610000e-15,0.000000e+00,0.000000e+00
2.064000e+00,1.540000e-15,0.000000e+00,0.000000e+00
2.304000e+00,1.480000e-15,0.000000e+00,0.000000e+00
2.640000e+00,1.510000e-15,0.000000e+00,0.000000e+00
3.088000e+00,1.430000e-15,0.000000e+00,0.000000e+00
3.440000e+00,1.410000e-15,0.000000e+00,0.000000e+00
4.000000e+00,1.430000e-15,0.000000e+00,0.000000e+00
4.192000e+00,1.400000e-15,0.000000e+00,0.000000e+00
5.296000e+00,1.440000e-15,0.000000e+00,0.000000e+00
6.272000e+00,1.540000e-15,0.000000e+00,0.000000e+00
6.976000e+00,1.600000e-15,0.000000e+00,0.000000e+00
8.016000e+00,1.640000e-15,0.000000e+00,0.000000e+00
8.928000e+00,1.700000e-15,0.000000e+00,0.000000e+00
9.952000e+00,1.710000e-15,0.000000e+00,0.000000e+00
1.179000e+01,1.840000e-15,0.000000e+00,0.000000e+00
1.462000e+01,2.010000e-15,0.000000e+00,0.000000e+00
1.728000e+01,2.120000e-15,0.000000e+00,0.000000e+00
1.984000e+01,2.120000e-15,0.000000e+00,0.000000e+00
2.464000e+01,2.300000e-15,0.000000e+00,0.000000e+00
2.976000e+01,2.410000e-15,0.000000e+00,0.000000e+00
3.920000e+01,2.640000e-15,0.000000e+00,0.000000e+00
4.864000e+01,2.920000e-15,0.000000e+00,0.000000e+00
5.680000e+01,3.090000e-15,0.000000e+00,0.000000e+00
6.944000e+01,3.240000e-15,0.000000e+00,0.000000e+00
7.856000e+01,3.260000e-15,0.000000e+00,0.000000e+00
8.752000e+01,3.280000e-15,0.000000e+00,0.000000e+00
9.744000e+01,3.470000e-15,0.000000e+00,0.000000e+00
1.952000e+02,4.140000e-15,0.000000e+00,0.000000e+00
2.864000e+02,4.250000e-15,0.000000e+00,0.000000e+00
3.840000e+02,4.390000e-15,0.000000e+00,0.000000e+00
4.768000e+02,4.420000e-15,0.000000e+00,0.000000e+00
