O+ + CO2 --> O2++CO
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.300000e-01,1.115000e-15,0.000000e+00,0.000000e+00
1.700000e-01,8.340000e-16,0.000000e+00,0.000000e+00
1.900000e-01,8.090000e-16,0.000000e+00,0.000000e+00
2.000000e-01,7.530000e-16,0.000000e+00,0.000000e+00
2.200000e-01,7.410000e-16,0.000000e+00,0.000000e+00
2.500000e-01,5.840000e-16,0.000000e+00,0.000000e+00
2.900000e-01,4.270000e-16,0.000000e+00,0.000000e+00
3.000000e-01,3.990000e-16,0.000000e+00,0.000000e+00
3.500000e-01,3.140000e-16,0.000000e+00,0.000000e+00
3.900000e-01,1.930000e-16,0.000000e+00,0.000000e+00
4.200000e-01,1.690000e-16,0.000000e+00,0.000000e+00
5.300000e-01,8.900000e-17,0.000000e+00,0.000000e+00
