O+ (4S) + CO --> O
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
6.000000e+02,1.720000e-15,0.000000e+00,0.000000e+00
8.000000e+02,1.660000e-15,0.000000e+00,0.000000e+00
1.000000e+03,1.630000e-15,0.000000e+00,0.000000e+00
1.200000e+03,1.600000e-15,0.000000e+00,0.000000e+00
1.400000e+03,1.580000e-15,0.000000e+00,0.000000e+00
1.600000e+03,1.490000e-15,0.000000e+00,0.000000e+00
1.800000e+03,1.420000e-15,0.000000e+00,0.000000e+00
2.000000e+03,1.340000e-15,0.000000e+00,0.000000e+00
2.200000e+03,1.300000e-15,0.000000e+00,0.000000e+00
2.400000e+03,1.250000e-15,0.000000e+00,0.000000e+00
2.600000e+03,1.240000e-15,0.000000e+00,0.000000e+00
2.800000e+03,1.220000e-15,0.000000e+00,0.000000e+00
3.000000e+03,1.210000e-15,0.000000e+00,0.000000e+00
