O3+ (2P) + H2 (0) --> O2++H2+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+02,6.200000e+01,1.500000e+00,1.500000e+00
2.000000e+02,5.300000e+01,1.500000e+00,1.500000e+00
5.000000e+02,4.000000e+01,1.500000e+00,1.500000e+00
1.000000e+03,3.300000e+01,1.500000e+00,1.500000e+00
5.000000e+03,1.800000e+01,1.500000e+00,1.500000e+00
1.000000e+04,1.600000e+01,1.500000e+00,1.500000e+00
5.000000e+04,1.300000e+01,1.500000e+00,1.500000e+00
1.000000e+05,1.300000e+01,1.500000e+00,1.500000e+00
1.000000e+06,1.500000e+01,1.500000e+00,1.500000e+00
5.000000e+06,1.300000e+01,1.500000e+00,1.500000e+00
