Li (2p) + H --> Li(4s)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,2.530000e-28,0.000000e+00,0.000000e+00
2.000000e+03,3.010000e-22,0.000000e+00,0.000000e+00
3.000000e+03,2.860000e-20,0.000000e+00,0.000000e+00
4.000000e+03,2.660000e-19,0.000000e+00,0.000000e+00
5.000000e+03,9.870000e-19,0.000000e+00,0.000000e+00
6.000000e+03,2.350000e-18,0.000000e+00,0.000000e+00
7.000000e+03,4.410000e-18,0.000000e+00,0.000000e+00
8.000000e+03,7.350000e-18,0.000000e+00,0.000000e+00
9.000000e+03,1.170000e-17,0.000000e+00,0.000000e+00
1.000000e+04,1.880000e-17,0.000000e+00,0.000000e+00
