Li (4s) + H --> Li(4p)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,7.800000e-12,0.000000e+00,0.000000e+00
2.000000e+03,2.290000e-11,0.000000e+00,0.000000e+00
3.000000e+03,3.670000e-11,0.000000e+00,0.000000e+00
4.000000e+03,4.920000e-11,0.000000e+00,0.000000e+00
5.000000e+03,6.010000e-11,0.000000e+00,0.000000e+00
6.000000e+03,6.960000e-11,0.000000e+00,0.000000e+00
7.000000e+03,7.830000e-11,0.000000e+00,0.000000e+00
8.000000e+03,8.660000e-11,0.000000e+00,0.000000e+00
9.000000e+03,9.480000e-11,0.000000e+00,0.000000e+00
1.000000e+04,1.030000e-10,0.000000e+00,0.000000e+00
