Li+ (2s) + H- --> Li(3d)+H
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.000000e+03,6.440000e-09,0.000000e+00,0.000000e+00
2.000000e+03,4.920000e-09,0.000000e+00,0.000000e+00
3.000000e+03,4.350000e-09,0.000000e+00,0.000000e+00
4.000000e+03,4.070000e-09,0.000000e+00,0.000000e+00
5.000000e+03,3.880000e-09,0.000000e+00,0.000000e+00
6.000000e+03,3.710000e-09,0.000000e+00,0.000000e+00
7.000000e+03,3.550000e-09,0.000000e+00,0.000000e+00
8.000000e+03,3.420000e-09,0.000000e+00,0.000000e+00
9.000000e+03,3.300000e-09,0.000000e+00,0.000000e+00
1.000000e+04,3.190000e-09,0.000000e+00,0.000000e+00
