id_number,B201868830
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Scattering
sub_process,Total
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,Ar1+ + Ar
reference_number,2018000321
author,M.S. Kim### M. Rabrenovi### J.H. Beynon
title_of_record,Collision-gas pressure dependence of charge stripping of Ar+¡¤ induced by H2, He, CH4, Ar, CO2 and Xe
journal_name,International Journal of Mass Spectrometry and Ion Physics
volume_and_issue_No,56
page_number,71
date_of_publication,1984
