X,Y
0.700,6.323E-01
0.160,3.204E-04
0.900,1.538E+00
0.800,1.024E+00
0.600,3.552E-01
0.550,2.555E-01
0.500,1.750E-01
0.450,1.134E-01
0.350,3.775E-02
0.180,7.962E-04
0.200,1.691E-03
0.230,4.144E-03
0.260,8.422E-03
0.300,1.791E-02
0.400,6.879E-02
1.000,2.181E+00
1.100,2.966E+00
1.200,3.896E+00
1.400,6.202E+00
1.600,9.088E+00
1.800,1.258E+01
2.000,1.666E+01
2.300,2.383E+01
2.600,3.211E+01
3.500,6.190E+01
3.000,4.458E+01
4.000,8.014E+01
4.500,9.927E+01
5.000,1.190E+02
5.500,1.387E+02
6.000,1.577E+02
7.000,1.953E+02
8.000,2.301E+02
9.000,2.610E+02
10.000,2.893E+02
11.000,3.148E+02
12.000,3.362E+02
14.000,3.725E+02
16.000,4.015E+02
18.000,4.226E+02
20.000,4.413E+02
23.000,4.608E+02
26.000,4.716E+02
30.000,4.746E+02
35.000,4.693E+02
40.000,4.551E+02
45.000,4.352E+02
50.000,4.116E+02
55.000,3.860E+02
60.000,3.594E+02
