X,Y
0.120,6.618E+02
0.100,3.324E+02
0.900,8.998E+04
0.800,7.878E+04
0.750,7.273E+04
0.700,6.638E+04
0.600,5.291E+04
0.500,3.878E+04
0.480,3.593E+04
0.460,3.310E+04
0.440,3.029E+04
0.420,2.753E+04
0.400,2.480E+04
0.380,2.215E+04
0.340,1.709E+04
0.360,1.957E+04
0.140,1.159E+03
0.160,1.849E+03
0.180,2.746E+03
0.200,3.860E+03
0.220,5.190E+03
0.240,6.729E+03
0.260,8.467E+03
0.280,1.039E+04
0.300,1.248E+04
0.320,1.472E+04
1.900,1.489E+05
1.100,1.088E+05
1.800,1.460E+05
1.700,1.427E+05
1.600,1.389E+05
1.500,1.344E+05
1.400,1.293E+05
1.300,1.233E+05
1.200,1.165E+05
1.000,9.996E+04
2.900,1.603E+05
2.800,1.601E+05
2.700,1.597E+05
2.600,1.592E+05
2.500,1.585E+05
2.300,1.564E+05
2.400,1.576E+05
2.000,1.513E+05
2.200,1.550E+05
2.100,1.533E+05
3.700,1.583E+05
3.900,1.571E+05
3.800,1.577E+05
3.600,1.588E+05
3.500,1.593E+05
3.400,1.596E+05
3.300,1.600E+05
3.200,1.602E+05
3.100,1.603E+05
3.000,1.604E+05
4.000,1.565E+05
4.200,1.551E+05
4.400,1.536E+05
4.600,1.520E+05
4.800,1.504E+05
5.800,1.418E+05
5.600,1.435E+05
5.200,1.470E+05
5.000,1.487E+05
5.400,1.452E+05
6.000,1.400E+05
6.200,1.383E+05
6.400,1.366E+05
6.600,1.349E+05
6.800,1.332E+05
7.800,1.253E+05
7.600,1.268E+05
7.400,1.284E+05
7.200,1.300E+05
7.000,1.316E+05
8.000,1.238E+05
8.200,1.223E+05
8.400,1.209E+05
8.600,1.195E+05
8.800,1.181E+05
9.000,1.167E+05
9.200,1.154E+05
9.400,1.141E+05
9.600,1.128E+05
9.800,1.115E+05
10.000,1.103E+05
