X,Y
700.0,15.2
722.8,15.3
734.5,15.4
742.0,14.4
750.0,15.1
758.7,14.4
766.6,14.4
776.7,14.0
784.0,13.9
793.6,13.8
800.0,13.4
802.5,13.7
808.6,13.7
815.6,13.5
822.2,13.6
829.7,13.3
833.7,12.8
836.5,13.1
844.2,12.2
848.8,12.1
851.1,12.1
852.6,11.5
855.2,11.5
857.5,11.5
859.2,11.4
861.0,10.5
862.5,11.1
865.0,10.9
866.8,11.0
867.9,10.9
870.2,10.4
872.4,10.5
874.1,10.3
877.7,10.3
879.0,10.2
883.3,10.2
885.8,10.2
887.4,9.3
891.4,10.0
893.0,10.1
894.4,9.5
900.3,10.0
903.0,8.4
905.0,7.9
908.1,8.9
909.0,8.9
910.0,8.3
911.5,8.0
915.5,8.5
916.7,9.1
917.5,8.5
918.6,7.9
923.8,8.6
925.3,8.5
926.2,8.3
927.4,7.7
930.0,7.0
932.4,8.3
933.8,8.6
934.8,8.1
936.3,7.6
941.2,7.6
942.6,8.3
943.4,7.9
945.3,7.4
948.0,7.1
949.4,7.0
951.1,7.4
952.1,7.4
958.2,6.2
959.8,6.5
960.8,6.3
963.3,6.0
965.4,6.0
967.3,6.0
968.4,6.2
970.0,5.3
977.2,5.4
978.0,5.2
