X,Y
0.01,7.80E+02
0.00,7.82E+02
0.80,1.61E+02
0.70,1.92E+02
0.60,2.33E+02
0.50,2.85E+02
0.40,3.55E+02
0.20,5.68E+02
0.10,6.96E+02
0.06,7.44E+02
0.04,7.63E+02
0.02,7.77E+02
0.30,4.50E+02
1.00,1.17E+02
1.20,8.76E+01
1.50,5.81E+01
1.70,4.40E+01
2.00,2.94E+01
2.50,1.70E+01
3.00,1.23E+01
3.50,9.78E+00
4.00,7.35E+00
5.00,3.30E+00
6.00,1.64E+00
7.00,1.17E+00
8.00,1.03E+00
9.00,9.12E-01
10.00,7.10E-01
12.50,2.53E-01
15.00,9.98E-02
17.50,5.84E-02
20.00,4.44E-02
22.50,3.65E-02
25.00,2.92E-02
27.50,2.19E-02
30.00,1.56E-02
35.00,7.27E-03
40.00,3.59E-03
45.00,1.99E-03
50.00,1.22E-03
55.00,8.44E-04
60.00,6.58E-04
65.00,5.51E-04
70.00,4.92E-04
75.00,4.56E-04
80.00,4.30E-04
85.00,4.09E-04
90.00,3.94E-04
95.00,3.80E-04
105.00,3.59E-04
120.00,3.40E-04
135.00,3.30E-04
150.00,3.26E-04
165.00,3.27E-04
180.00,3.28E-04
