X,Y
3.0,6.351459999999999E-5
4.0,0.00218244
5.0,0.019502059999999998
6.0,0.08477939999999999
7.0,0.2411876
8.0,0.523226
9.0,0.940128
10.0,1.474546
11.0,2.076116
12.0,2.680484
13.0,3.2177
14.0,3.66538
15.0,4.00114
16.0,4.2249799999999995
17.0,4.42084
18.0,4.56074
19.0,4.67266
20.0,4.78458
25.0,5.008419999999999
30.0,4.98044
40.0,4.67266
50.0,4.364879999999999
60.0,4.0571
70.0,3.7773
80.0,3.52548
90.0,3.41356
100.0,3.30164
110.0,3.1057799999999998
120.0,2.88194
130.0,2.72805
140.0,2.6413119999999997
150.0,2.6021400000000003
160.0,2.579756
180.0,2.5293919999999996
200.0,2.442654
267.0,2.053732
333.0,1.771134
400.0,1.586466
600.0,1.197544
800.0,0.912148
1000.0,0.705096
1250.0,0.5260239999999999
1500.0,0.402912
1750.0,0.318972
2000.0,0.257416
