X,Y
0.030,3.073E-03
0.900,3.119E+03
0.800,2.519E+03
0.700,1.933E+03
0.600,1.392E+03
0.550,1.135E+03
0.500,8.972E+02
0.450,6.847E+02
0.400,4.981E+02
0.350,3.389E+02
0.300,2.132E+02
0.260,1.357E+02
0.230,9.066E+01
0.200,5.631E+01
0.180,3.862E+01
0.140,1.507E+01
0.160,2.500E+01
0.026,7.558E-04
0.035,1.130E-02
0.040,3.027E-02
0.045,6.622E-02
0.050,1.261E-01
0.055,2.172E-01
0.060,3.489E-01
0.070,7.647E-01
0.080,1.436E+00
0.090,2.418E+00
0.100,3.811E+00
0.110,5.697E+00
0.120,8.148E+00
1.800,7.922E+03
1.600,7.010E+03
1.400,6.016E+03
1.100,4.317E+03
1.000,3.716E+03
1.200,4.905E+03
2.000,8.731E+03
2.300,9.762E+03
2.600,1.060E+04
3.000,1.144E+04
3.500,1.215E+04
4.000,1.259E+04
4.500,1.287E+04
5.000,1.296E+04
5.500,1.294E+04
6.000,1.284E+04
7.000,1.240E+04
8.000,1.185E+04
9.000,1.123E+04
10.000,1.060E+04
11.000,9.979E+03
12.000,9.376E+03
14.000,8.260E+03
16.000,7.270E+03
