X,Y
0.120,6.381E-03
0.100,2.110E-03
0.900,2.713E+01
0.800,1.859E+01
0.750,1.503E+01
0.700,1.193E+01
0.600,7.020E+00
0.500,3.658E+00
0.480,3.149E+00
0.460,2.690E+00
0.440,2.279E+00
0.420,1.912E+00
0.400,1.587E+00
0.380,1.302E+00
0.340,8.413E-01
0.360,1.055E+00
0.140,1.497E-02
0.160,2.985E-02
0.180,5.317E-02
0.200,8.726E-02
0.220,1.346E-01
0.240,1.976E-01
0.260,2.789E-01
0.280,3.813E-01
0.300,5.074E-01
0.320,6.598E-01
1.900,2.199E+02
1.100,5.026E+01
1.800,1.928E+02
1.700,1.671E+02
1.600,1.431E+02
1.500,1.207E+02
1.400,1.002E+02
1.300,8.156E+01
1.200,6.490E+01
1.000,3.768E+01
2.900,5.482E+02
2.800,5.123E+02
2.700,4.768E+02
2.600,4.418E+02
2.500,4.075E+02
2.300,3.410E+02
2.400,3.738E+02
2.000,2.484E+02
2.200,3.091E+02
2.100,2.782E+02
3.700,8.434E+02
3.900,9.173E+02
3.800,8.804E+02
3.600,8.063E+02
3.500,7.632E+02
3.400,7.320E+02
3.300,6.950E+02
3.200,6.580E+02
3.100,6.211E+02
3.000,5.845E+02
4.000,9.540E+02
4.200,1.027E+03
4.400,1.099E+03
4.600,1.169E+03
4.800,1.239E+03
5.800,1.562E+03
5.600,1.501E+03
5.200,1.373E+03
5.000,1.307E+03
5.400,1.438E+03
6.000,1.622E+03
6.200,1.680E+03
6.400,1.736E+03
6.600,1.791E+03
6.800,1.844E+03
7.800,2.083E+03
7.600,2.039E+03
7.400,1.992E+03
7.200,1.944E+03
7.000,1.895E+03
8.000,2.127E+03
8.200,2.168E+03
8.400,2.209E+03
8.600,2.247E+03
8.800,2.285E+03
9.000,2.321E+03
9.200,2.356E+03
9.400,2.389E+03
9.600,2.422E+03
9.800,2.453E+03
10.000,2.483E+03
