X,Y
0.62,0.202E-16
0.58,0.988E-17
0.96,0.315E-18
0.92,0.131E-16
0.88,0.380E-16
0.84,0.619E-16
0.82,0.698E-16
0.78,0.760E-16
0.76,0.720E-16
0.72,0.605E-16
0.68,0.440E-16
0.66,0.346E-16
1.32,0.224E-16
1.56,0.166E-17
1.60,0.105E-17
1.52,0.130E-16
1.64,0.962E-17
1.68,0.231E-16
1.72,0.368E-16
1.80,0.551E-16
1.84,0.584E-16
1.88,0.579E-16
1.96,0.484E-16
1.98,0.451E-16
1.48,0.315E-16
1.44,0.487E-16
1.40,0.547E-16
1.36,0.441E-16
1.28,0.371E-17
1.24,0.161E-17
1.20,0.182E-16
1.16,0.419E-16
1.12,0.558E-16
1.08,0.494E-16
1.04,0.277E-16
1.0,0.656E-17
2.00,0.410E-16
2.04,0.329E-16
2.08,0.252E-16
2.12,0.186E-16
