B5+ + H(1s) --> B4+(4s) + H+
X = Energy (eV),Y = Cross section (cm2)
2.750000e+03,1.420000e-16
5.500000e+03,9.180000e-17
1.100000e+04,1.210000e-16
2.200000e+04,1.330000e-16
3.300000e+04,1.090000e-16
4.400000e+04,1.020000e-16
6.875000e+04,1.030000e-16
9.900000e+04,6.650000e-17
1.375000e+05,4.480000e-17
2.750000e+05,2.530000e-17
5.500000e+05,1.860000e-17
8.250000e+05,1.220000e-17
1.100000e+06,5.660000e-18
1.650000e+06,2.590000e-18
2.200000e+06,8.680000e-19
4.400000e+06,2.820000e-19
6.600000e+06,4.130000e-20
8.800000e+06,9.470000e-22
