B5+ + H(1s) --> B4+(5f) + H+
X = Energy (eV),Y = Cross section (cm2)
2.750000e+03,5.640000e-18
5.500000e+03,1.610000e-17
1.100000e+04,1.750000e-17
2.200000e+04,3.670000e-17
3.300000e+04,6.810000e-17
4.400000e+04,7.570000e-17
6.875000e+04,8.270000e-17
9.900000e+04,8.110000e-17
1.375000e+05,8.120000e-17
2.750000e+05,1.690000e-16
5.500000e+05,1.980000e-16
8.250000e+05,1.580000e-16
1.100000e+06,7.140000e-17
1.650000e+06,3.640000e-17
2.200000e+06,7.360000e-18
4.400000e+06,1.780000e-18
6.600000e+06,3.930000e-20
8.800000e+06,2.760000e-22
