B5+ + H(1s) --> B4+(6p) + H+
X = Energy (eV),Y = Cross section (cm2)
4.400000e+05,7.180000e-17
5.500000e+05,3.520000e-17
6.600000e+05,2.020000e-17
7.700000e+05,1.330000e-17
8.800000e+05,9.550000e-18
9.900000e+05,7.300000e-18
1.100000e+06,5.780000e-18
1.375000e+06,3.840000e-18
1.650000e+06,2.200000e-18
2.200000e+06,9.440000e-19
3.300000e+06,2.190000e-19
4.400000e+06,6.510000e-20
5.500000e+06,2.340000e-20
6.600000e+06,9.680000e-21
7.700000e+06,4.460000e-21
8.800000e+06,2.230000e-21
9.900000e+06,1.200000e-21
1.100000e+07,6.800000e-22
2.200000e+07,1.370000e-23
3.300000e+07,1.250000e-24
4.400000e+07,2.220000e-25
5.500000e+07,5.760000e-26
6.600000e+07,1.900000e-26
7.700000e+07,7.460000e-27
8.800000e+07,3.310000e-27
9.900000e+07,1.620000e-27
1.100000e+08,8.540000e-28
