Be2+ + H --> Be+(1s2 2p) + H+
X = Energy (eV),Y = Cross section (cm2)
4.950000e+02,2.500000e-16
6.750000e+02,2.400000e-16
9.900000e+02,2.300000e-16
1.170000e+03,2.300000e-16
1.440000e+03,2.200000e-16
1.980000e+03,2.300000e-16
2.970000e+03,2.400000e-16
5.040000e+03,2.800000e-16
6.930000e+03,3.300000e-16
1.080000e+04,4.300000e-16
1.620000e+04,4.800000e-16
2.025000e+04,4.900000e-16
2.880000e+04,5.100000e-16
4.950000e+04,5.100000e-16
6.750000e+04,5.200000e-16
9.900000e+04,6.300000e-16
