Be4+ + H(1s) --> Be3+(5g) + H+
X = Energy (eV),Y = Cross section (cm2)
2.250000e+03,4.220000e-19
4.500000e+03,7.490000e-19
9.000000e+03,1.570000e-18
1.800000e+04,3.710000e-18
2.700000e+04,3.400000e-18
3.600000e+04,2.300000e-18
5.625000e+04,9.000000e-18
8.100000e+04,1.850000e-17
1.125000e+05,1.530000e-17
2.250000e+05,3.210000e-17
4.500000e+05,2.380000e-17
6.750000e+05,7.450000e-18
9.000000e+05,2.450000e-18
1.350000e+06,3.490000e-19
1.800000e+06,6.840000e-20
3.600000e+06,4.180000e-21
5.400000e+06,2.600000e-21
7.200000e+06,2.680000e-23
