Be4+ + H(1s) --> Be3+(7i) + H+
X = Energy (eV),Y = Cross section (cm2)
3.600000e+05,1.650000e-17
4.500000e+05,6.830000e-18
5.400000e+05,3.160000e-18
6.300000e+05,1.600000e-18
7.200000e+05,8.620000e-19
8.100000e+05,4.930000e-19
9.000000e+05,2.950000e-19
1.125000e+06,9.650000e-20
1.350000e+06,3.770000e-20
1.800000e+06,8.270000e-21
2.700000e+06,9.250000e-22
3.600000e+06,1.910000e-22
4.500000e+06,5.570000e-23
5.400000e+06,2.030000e-23
6.300000e+06,8.630000e-24
7.200000e+06,4.110000e-24
8.100000e+06,2.140000e-24
9.000000e+06,1.190000e-24
1.800000e+07,2.540000e-26
2.700000e+07,2.700000e-27
3.600000e+07,5.500000e-28
4.500000e+07,1.600000e-28
5.400000e+07,5.860000e-29
6.300000e+07,2.500000e-29
7.200000e+07,1.200000e-29
8.100000e+07,6.260000e-30
9.000000e+07,3.500000e-30
