C4+ + H2 --> C3+(1s23p) + H2+
X = Energy (eV),Y = Cross section (cm2)
5.760000e+02,2.570000e-15
7.200000e+02,2.300000e-15
9.600000e+02,1.810000e-15
1.200000e+03,1.660000e-15
1.560000e+03,1.740000e-15
1.920000e+03,1.600000e-15
2.400000e+03,1.730000e-15
2.796000e+03,1.550000e-15
3.000000e+03,1.600000e-15
3.600000e+03,1.410000e-15
4.200000e+03,1.360000e-15
4.800000e+03,1.130000e-15
5.604000e+03,1.240000e-15
6.000000e+03,1.010000e-15
6.240000e+03,1.140000e-15
6.996000e+03,8.900100e-16
8.400000e+03,8.400100e-16
9.840000e+03,8.200100e-16
1.260000e+04,6.800000e-16
1.599600e+04,6.700000e-16
